"homepage","bias"
"http://www.citypaper.com/","left"
"http://evonomics.com/","left"
"http://www.globetoday.com/","left"
"https://www.desmogblog.com/","left"
"https://www.thedailyvox.co.za/","left"
"http://rabble.ca/","left"
"https://www.good.is/","left"
"http://www.commondreams.org/","left"
"http://revolution-news.com/","left"
"http://deadstate.org/","left"
"http://www.impeachdjtnow.com/","left"
"http://backedbyfact.com/","left"
"http://theuspoliticalpost.com/","left"
"http://everydayfeminism.com/","left"
"http://www.forwardprogressives.com/","left"
"http://www.cnntimes.online/","left"
"http://americanindependent.com/","left"
"https://www.thelondoneconomic.com","left"
"http://www.democratichub.com/","left"
"http://www.codepink.org/","left"
"http://deepleftfield.info/","left"
"http://www.redpepper.org.uk/","left"
"https://photographyisnotacrime.com/","left"
"https://thefloridasqueeze.com/","left"
"http://prospect.org/","left"
"https://citizencritics.org","left"
"http://www.leftvoice.org","left"
"http://littlegreenfootballs.com/","left"
"http://www.towleroad.com/","left"
"http://www.truthdig.com/","left"
"http://www.addictinginfo.org/","left"
"http://loveknowledge.org/","left"
"https://www.climaterealityproject.org/","left"
"http://jezebel.com/","left"
"http://content.news","left"
"http://the-daily.buzz/","left"
"http://www.dailydot.com/","left"
"http://www.countercurrents.org/","left"
"http://www.yesmagazine.org/","left"
"http://guardianlv.com/","left"
"http://nap-sack.org/","left"
"http://theoswatch.com","left"
"http://talkingpointsmemo.com/","left"
"http://www.ips-dc.org","left"
"http://usuncut.com/","left"
"https://thewalrus.ca/","left"
"http://newpol.org/","left"
"http://www.newshounds.us/","left"
"http://www.smirkingchimp.com/","left"
"http://leftwingnation.org/","left"
"http://www.workers.org/","left"
"https://egbertowillies.com/","left"
"http://thedailybanter.com/","left"
"http://whatmattersnews.com/","left"
"https://www.currentaffairs.org/","left"
"http://www.mirror.co.uk/","left"
"https://antifascistnews.net/","left"
"http://www.motherjones.com/","left"
"https://www.merryjane.com/","left"
"http://www.readingthepictures.org","left"
"http://www.bradford-delong.com/","left"
"http://americannewsx.com/","left"
"http://www.molad.org/en/","left"
"https://www.autostraddle.com/","left"
"http://boingboing.net/","left"
"http://leftoverrights.com/","left"
"https://www.upworthy.com/","left"
"http://elisabethparker.com/","left"
"http://www.msnbc.com/","left"
"http://other98.com/","left"
"https://www.inequalitymedia.org/","left"
"https://canadiandimension.com/","left"
"https://thesternfacts.com/","left"
"http://vote.us.org/","left"
"http://www.newstatesman.com/","left"
"https://www.jacobinmag.com/","left"
"http://www.thecanary.co/","left"
"http://akkadiantimes.com","left"
"http://blackagendareport.com/","left"
"http://mondoweiss.net/","left"
"http://reverbpress.com/","left"
"https://globalvoices.org/","left"
"https://nowthisnews.com/","left"
"http://www.cosmopolitan.com/","left"
"http://www.pinknews.co.uk/home/","left"
"http://verifiedpolitics.com","left"
"http://mashable.com/","left"
"https://www.pressprogress.ca/","left"
"http://www.vanityfair.com/","left"
"https://trofire.com/","left"
"https://www.liberalexaminer.com/","left"
"http://www.palmerreport.com/","left"
"http://revcom.us/","left"
"http://projectcensored.org/","left"
"http://www.greenvillegazette.com/","left"
"http://www.theroot.com/","left"
"http://www.carbonated.tv/","left"
"https://rewire.news/","left"
"http://filmingcops.com/","left"
"https://www.opednews.com/","left"
"https://www.thenation.com/","left"
"https://www.dailydems.com/","left"
"https://wearyourvoicemag.com","left"
"https://shadowproof.com","left"
"http://www.thedailybeast.com/","left"
"http://dieharddemocrat.com/","left"
"http://blacklivesmatter.com/","left"
"http://thinkprogress.org/","left"
"http://thegrio.com/","left"
"http://certifiedpolitics.com","left"
"http://www.counterpunch.org/","left"
"https://crimethinc.com/","left"
"https://verrit.com","left"
"http://www.thenewcivilrightsmovement.com/","left"
"http://www.rawprogressive.com/","left"
"http://happy-foxie.com/","left"
"http://www.nationofchange.org/","left"
"http://www.newyorker.com/","left"
"https://www.fifthestate.org/","left"
"http://www.takepart.com/","left"
"http://observer.com/","left"
"http://www.breitbartunmasked.com/","left"
"http://www.msmagazine.com/","left"
"http://www.dailykos.com/","left"
"http://www.deathandtaxesmag.com/","left"
"https://www.dissentmagazine.org/","left"
"https://zcomm.org/zmag/","left"
"http://newscorpse.com/","left"
"http://shareblue.com/","left"
