,Domain name,MBFC1,MBFC2,MBFC ranking,Global,W,Misinfo,Get fact-checks for:
108,batonrougereporter.com,mixed,FN,L,"20,000,000",W,-1,Baton Rouge Reporter
109,battlecreektimes.com,mixed,FN,L,"20,000,000",W,-1,Battle Creek Times
110,baystatenews.com,mixed,FN,L,"20,000,000",W,-1,Bay State News
111,bb4sp.com,low,FN,L,"20,000,000",,-0.89,BB4SP
112,bdnews24.com,mixed,FN,L,"15,593",W,0.16,BDNews24
113,beachbroadcastnews.com,very-low,FN,L,"488,194",,,Beach Broadcast
114,beantowntimes.com,mixed,FN,L,"20,000,000",W,-1,Bean Town Times
115,beckernews.com,low,FN,L,"96,768",W,-1,Becker News
116,beforeitsnews.com,low,FN,L,"12,197",W,-0.83,Before It's News
117,beholdisrael.org,mixed,CP,L,"1,080,694",,0,Behold Israel
118,bentontimes.com,mixed,FN,L,"20,000,000",W,-0.36,Benton Times
119,bestnewshere.com,very-low,CP,L,"97,080",,-0.95,Best News Here
120,biggovernment.news,very-low,CP,L,"3,947,739",W,0,Big Government News
121,bigislandtimes.com,mixed,FN,L,"20,000,000",W,-0.36,Big Island Times
122,bigleaguepolitics.com,low,FN,L,"124,624",W,-0.94,Big League Politics
123,billionbibles.org,very-low,FN,L,"1,699,522",,0,BillionBibles.org
124,biodefense.com,very-low,CP,L,"20,000,000",,0,BioDefense
125,biologos.org,mixed,CP,L,"336,684",W,0.06,Biologos Foundation
126,bipartisanreport.com,low,FN,L,"339,013",,-0.15,Bipartisan Report
127,bitchute.com,very-low,FN,L,"1,354",W,-0.78,BitChute
128,blackeyepolitics.com,low,FN,L,"389,567",,0,Black Eye Politics
129,blackgenocide.org,low,FN,L,"20,000,000",,-0.67,Black Genocide
130,blacklistednews.com,mixed,CP,L,"192,186",,-0.14,Blacklisted News
131,blacknews.com,mixed,FN,L,"331,387",,0.01,BlackNews.com
132,blckbx.tv,very-low,CP,L,"80,350",,0.6,blckbx
133,blingnews.com,low,FN,L,"20,000,000",,-0.2,Blingnews.com
134,bloomingtonleader.com,mixed,FN,L,"20,000,000",W,-0.36,Bloomington Leader
135,bluegrasstimes.com,mixed,FN,L,"20,000,000",W,-1,Bluegrass Times
136,bluestatebluesnews.com,mixed,FN,L,"371,731",W,,Blue States Blues News
137,bluntforcetruth.com,low,FN,L,"2,453,653",,-0.81,Blunt Force Truth
138,boisecitywire.com,mixed,FN,L,"20,000,000",W,-0.36,Boise City Wire
139,bongino.com,mixed,FN,L,"138,534",W,0.16,Bongino.com
140,bonsens.info,low,CP,L,"627,641",,,BonSens
141,borderlandalternativemedia.com,low,FN,L,"20,000,000",,-0.6,Borderland Alternative Media
142,bossip.com,mixed,FN,L,"54,977",W,0.16,Bossip
143,bostonbroadside.com,mixed,FN,L,"2,138,969",,,Boston Broadside
144,boulderleader.com,mixed,FN,L,"20,000,000",W,-0.36,Boulder Leader
145,bowlinggreentoday.com,mixed,FN,L,"20,000,000",W,-1,Bowling Green Today
146,brandnewtube.com,very-low,CP,L,"140,932",,-0.85,Brand New Tube
147,breaking911.com,very-low,FN,L,"65,337",,-0.5,Breaking911
148,breakingchristiannews.com,low,FN,L,"549,669",,0.32,Breaking Christian News
149,breakingfirst.com,low,FN,L,"6,247,237",,0,Breaking First
150,breakingnews247.net,low,FN,L,"5,226,320",,,Breakingnews247.net
151,breakingwide.com,mixed,FN,L,"216,344",,0,Breaking Wide
152,breitbart.com,mixed,FN,L,"1,752",W,-0.33,Breitbart
153,brevardsun.com,mixed,FN,L,"8,707,254",W,-0.36,Brevard Sun
154,bridgeporttimes.com,mixed,FN,L,"20,000,000",W,-0.36,Bridgeport Times
155,brighteon.com,very-low,CP,L,"13,827",,-0.77,Brighteon
156,brightside.me,mixed,CP,L,"10,323",W,0.04,BrightSide
157,bristolreporter.com,mixed,FN,L,"20,000,000",W,-1,Bristol Reporter
158,britainfirst.org,low,FN,L,"1,455,060",W,-0.6,Britain First
159,buckscountystandard.com,mixed,FN,L,"5,835,920",,,Bucks County Standard
160,buffalochronicle.com,mixed,FN,L,"1,537,032",,0,The Buffalo Chronicle
161,bugout.news,very-low,CP,L,"20,000,000",W,0,Bugout.news
162,c19budesonide.com,mixed,FN,L,"10,926,928",,,Budesonide for COVID-19
163,c19colchicine.com,mixed,FN,L,"20,000,000",,,Colchicine for COVID-19
164,c19curcumin.com,mixed,FN,L,"6,095,934",,,Curcumin for COVID-19
165,c19early.com,mixed,FN,L,"788,479",,,CovidAnalysis Network
166,c19favipiravir.com,mixed,FN,L,"20,000,000",,,Favipiravir for COVID-19
167,c19fluvoxamine.com,mixed,FN,L,"20,000,000",,,Fluvoxamine for COVID-19
168,c19hcq.com,mixed,FN,L,"2,366,034",,,HCQ for COVID-19
169,c19melatonin.com,mixed,FN,L,"5,141,594",,,Melatonin for COVID-19
170,c19nitazoxanide.com,mixed,FN,L,"20,000,000",,,Nitazoxanide for COVID-19
171,c19ns.com,mixed,FN,L,"3,621,660",,,Nigella Sativa for COVID-19
172,c19proxalutamide.com,mixed,FN,L,"20,000,000",,,Proxalutamide for COVID-19
173,c19pvpi.com,mixed,FN,L,"6,477,286",,,Povidone-Iodine for COVID-19
174,c19quercetin.com,mixed,FN,L,"2,156,033",,,C19Quercetin.com
175,c19vitamind.com,mixed,FN,L,"5,078,538",,,Vitamin D for COVID-19
176,c19zinc.com,mixed,FN,L,"3,744,994",,,Zinc for COVID-19
177,cair.com,mixed,FN,L,"651,578",W,0.13,Council for American-Islamic Relations
178,caixinglobal.com,mixed,FN,L,"130,658",W,0.02,Caixin Global
179,caldronpool.com,mixed,FN,L,"806,246",W,0,Caldron Pool
180,campusinsanity.com,very-low,CP,L,"7,842,983",W,0,CampusInsanity
181,canadafreepress.com,low,FN,L,"401,803",,-0.62,Canada Free Press
182,cancer.news,very-low,CP,L,"1,736,231",W,0,Cancer.news
183,cap-news.com,very-low,FN,L,"7,975,942",,-0.83,Cap News
184,capecodledger.com,mixed,FN,L,"20,000,000",W,-1,Cape Cod Ledger
185,carbondalereporter.com,mixed,FN,L,"8,778,675",,-0.36,Carbondale Reporter
186,carm.org,low,CP,L,"141,691",W,0.46,Christian Apologetics & Research Ministry
187,catholic.org,mixed,CP,L,"63,886",,0.15,Catholic Online
188,cbn.com,mixed,CP,L,"30,432",W,0.13,Christian Broadcasting Network
189,cdareporter.com,mixed,FN,L,"20,000,000",W,-0.36,CDA Reporter
190,cedarrapidstoday.com,mixed,FN,L,"20,000,000",W,-0.36,Cedar Rapids Today
191,cei.org,low,FN,L,"610,803",W,0.28,Competitive Enterprise Institute
192,censored.news,low,FN,L,"191,419",,-0.6,Censored.news
193,centennialstatenews.com,mixed,FN,L,"9,184,890",W,-0.36,Centennial State News
194,centerforsecuritypolicy.org,mixed,FN,L,"925,642",W,-0.11,Center for Security Policy
195,centralbrowardnews.com,mixed,FN,L,"8,836,948",W,-0.36,Central Broward News
196,centralcoloradonews.com,mixed,FN,L,"20,000,000",W,-0.36,Central Colorado News
197,centralfloridapost.com,low,FN,L,"6,034,788",,,Central Florida Post
198,centralgeorgianews.com,mixed,FN,L,"20,000,000",W,-0.36,Central Georgia News
199,centralidahotimes.com,mixed,FN,L,"20,000,000",W,-0.36,Central Idaho Times
200,centraliowatimes.com,mixed,FN,L,"20,000,000",W,-0.74,Central Iowa Times
201,centraloctimes.com,mixed,FN,L,"9,266,702",W,-0.36,Central OC Times
202,centralpatimes.com,mixed,FN,L,"20,000,000",,,Central Pennsylvania Times
203,cernovich.com,mixed,FN,L,"4,305,390",W,0,Mike Cernovich
204,cfact.org,low,CP,L,"965,360",W,0.2,The Committee for a Constructive Tomorrow
205,cgtn.com,mixed,FN,L,"10,854",W,,China Global Television Network
206,chambanasun.com,mixed,FN,L,"5,221,346",,-0.36,Chambana Sun
207,charismanews.com,mixed,CP,L,"254,342",,-0.01,Charisma News
208,chicagocitywire.com,mixed,FN,L,"1,474,511",,-0.36,Chicago City Wire
209,chicotimes.com,mixed,FN,L,"20,000,000",W,-0.36,Chico Times
210,childrenshealthdefense.org,low,CP,L,"31,957",W,-0.78,Children's Health Defense
211,childrenshealthdefense.org/defender,low,CP,L,"31,737",W,,The Defender
212,chinadaily.com.cn,mixed,FN,L,"1,931",W,0.15,China Daily
213,chlorellafactor.com,very-low,CP,L,"20,000,000",W,0,Chlorella Factor
214,christianaction.org,low,FN,L,"5,134,155",W,0,Christian Action Network
215,christianscience.com,low,CP,L,"146,651",W,0.24,Christian Science
216,christiansfortruth.com,very-low,FN,L,"671,423",W,-0.96,Christians for Truth
217,churchmilitant.com,mixed,FN,L,"129,107",,0.01,Church Militant
218,citizensjournal.us,mixed,FN,L,"824,106",,0,Citizens Journal
219,cityworldnews.com,very-low,FN,L,"20,000,000",,-0.9,CityWorldNews
220,clarionproject.org,low,FN,L,"2,026,662",W,0.24,Clarion Project
221,clashdaily.com,low,FN,L,"239,829",,-0.85,Clash Daily
222,claycotimes.com,mixed,FN,L,"20,000,000",W,-0.36,Clay County Times
223,climate.news,very-low,FN,L,"2,064,629",W,0,Climate.News
224,climatechangedispatch.com,low,CP,L,"1,156,026",,-0.08,Climate Change Dispatch
225,climatedepot.com,mixed,CP,L,"529,899",W,-0.16,Climate Depot
226,climatism.blog,low,CP,L,"5,918,389",,0,Climatism
227,cloverchronicle.com,low,FN,L,"3,627,651",,0,Clover Chronicle
228,cnnsofake.news,very-low,CP,L,"7,547,429",,,CNN So Fake News
229,cnsnews.com,low,FN,L,"95,160",W,-0.69,CNS News
230,coachellatoday.com,mixed,FN,L,"20,000,000",W,-0.36,Coachella Today
231,coastalganews.com,mixed,FN,L,"20,000,000",W,-0.36,Coastal GA News
232,coasttocoastam.com,low,CP,L,"45,960",W,-0.08,Coast to Coast AM
233,cobbnewsga.com,mixed,FN,L,"8,964,706",,,Cobb News
234,cobbreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Cobb Reporter
235,coconinonews.com,mixed,FN,L,"20,000,000",W,-0.36,Coconino News
236,collapse.news,very-low,CP,L,"2,181,172",W,0,Collapse.News
237,collective-evolution.com,low,CP,L,"796,458",,-0.55,Collective Evolution
238,columbusstandard.com,mixed,FN,L,"20,000,000",W,-0.36,Columbus Standard
239,concernedwomen.org,low,FN,L,"1,957,402",W,-0.38,Concerned Women for America
240,consciouslifenews.com,mixed,CP,L,"523,146",,-0.1,Conscious Life News
241,conservapedia.com,mixed,FN,L,"163,558",W,-0.13,Conservapedia
242,conservative-headlines.org,low,FN,L,"5,250,978",W,-0.32,Conservative Headlines
243,conservativeammo.com,low,FN,L,"4,738,715",,0,Conservative Ammo
244,conservativebeaver.com,very-low,FN,L,"5,283,933",,-1,Conservative Beaver
245,conservativedailynews.com,mixed,FN,L,"305,947",,0.01,Conservative Daily News
246,conservativedailypost.com,low,FN,L,"2,565,919",,-0.99,Conservative Daily Post
247,conservativefiringline.com,very-low,FN,L,"651,149",,-0.12,Conservative Firing Line
248,conservativefreepress.com,low,FN,L,"352,387",,0,Conservative Free Press
249,conservativeglobe.com,low,FN,L,"952,443",,,For the Right News
250,conservativematrix.com,mixed,FN,L,"688,426",,0,Conservative Matrix
251,conservativepapers.com,mixed,FN,L,"1,475,159",,-0.06,The Conservative Papers
252,conservativeplaylist.com,low,FN,L,"281,273",,-0.59,Conservative Playlist
253,conservativepost.com,low,FN,L,"6,484,487",,-0.76,Conservative Post
254,conservativerevival.com,low,FN,L,"438,917",,,Conservative Revival
255,conservativeundergroundnews.com,mixed,FN,L,"142,930",,0.6,Conservative Underground News
256,conspiracydailyupdate.com,very-low,CP,L,"1,065,562",,-1,Conspiracy Daily Update
257,conspiracyplanet.com,low,CP,L,"3,748,049",,-0.59,Conspiracy Planet
258,constative.com,mixed,FN,L,"18,830",,0.02,Constative
259,constitutionstatenews.com,mixed,FN,L,"20,000,000",W,-0.36,Constitution State News
260,consumerwellness.org,very-low,CP,L,"5,565,359",,0.28,Consumer Wellness Center
261,corbettreport.com,low,CP,L,"102,864",,-0.92,The Corbett Report
262,corona-transition.org,low,FN,L,"1,954,250",,0.38,Corona Transition
263,cosmicintelligenceagency.com,low,CP,L,"2,937,919",,0,Cosmic Intelligence Agency
264,councilforthenationalinterest.org,mixed,FN,L,"20,000,000",,0.02,The Council for the National Interest
265,counterpsyops.com,mixed,CP,L,"20,000,000",,-0.28,Counter PsyOps
266,counterthink.com,very-low,CP,L,"5,610,904",W,0,CounterThink.com
267,covid19criticalcare.com,low,CP,L,"110,943",W,-0.56,FLCCC Alliance
268,creation.com,low,CP,L,"96,605",,0.22,Christian Ministries International
269,creationwiki.org,low,CP,L,"919,393",,0.03,CreationWiki
270,csglobe.com,low,CP,L,"1,516,404",,-0.87,CS Globe
271,culturewatchnews.com,mixed,FN,L,"8,262,973",,,Culture Watch News
272,cureus.com,mixed,CP,L,"42,368",W,0.6,Cureus Journal of Medical Science
273,curiousmindmagazine.com,low,CP,L,"321,137",,0,Curious Mind Magazine
274,dagospia.com,low,FN,L,"3,535",,0.66,Dagospia
275,dailyboulder.com,mixed,FN,L,"469,127",,0,Daily Boulder
276,dailybuzzlive.com,very-low,FN,L,"3,427,069",W,-0.95,Daily Buzz Live
277,dailycitizen.focusonthefamily.com,low,FN,L,"66,536",W,0.68,Daily Citizen
278,dailyexpose.co.uk,very-low,CP,L,"20,000,000",,0,The Daily Expose
279,dailygrail.com,mixed,CP,L,"223,387",,0.03,Daily Grail
280,dailyheadlines.net,low,FN,L,"9,141,777",,-1,Daily Headlines
281,dailyhealthpost.com,low,CP,L,"319,530",,-0.71,DailyHealthPost
282,dailyinsidernews.com,low,FN,L,"20,000,000",,-0.6,Daily Insider News
283,dailymail.co.uk,low,FN,L,204,W,,Daily Mail
284,dailyoccupation.com,low,CP,L,"2,726,799",,-1,Daily Occupation
285,dailypoliticalnewswire.com,low,FN,L,"465,580",,0,Daily Political Newswire
286,dailysceptic.org,very-low,CP,L,"64,782",,0.15,Daily Sceptic
287,dailystormer.su,very-low,FN,L,"2,761,610",W,-0.56,Daily Stormer
288,dailysurge.com,low,FN,L,"4,247,182",,-1,Daily Surge
289,dakotatimes.com,mixed,FN,L,"20,000,000",W,-1,Dakota Times
290,darkjournalist.com,low,CP,L,"3,344,524",,0,Dark Journalist
291,dataasylum.com,low,CP,L,"7,454,349",,-1,Data Asylum
292,davidharrisjr.com,low,FN,L,"2,527,191",,-1,David Harris Jr
293,davidicke.com,very-low,CP,L,"38,615",,-0.79,David Icke
294,davidwolfe.com,mixed,CP,L,"393,303",W,-0.1,David Wolfe
295,dcclothesline.com,low,FN,L,"204,069",,-0.62,The DC Clothesline
296,dcdirtylaundry.com,very-low,FN,L,"228,065",,0,DC Dirty Laundry
297,dcgazette.com,low,FN,L,"20,000,000",W,-0.89,DC Gazette
298,de.rt.com,very-low,FN,L,439,W,0,RT DE
299,debka.com,mixed,FN,L,"181,084",W,0.13,DEBKAfile
300,debunkingskeptics.com,low,CP,L,"5,069,348",,-0.61,Debunking Skeptics
301,decaturtimes.com,mixed,FN,L,"20,000,000",W,-0.36,Decatur Times
302,deepleftfield.info,mixed,FN,L,"1,035,086",,0,Deep Left Field
303,deepstatejournal.com,low,FN,L,"3,641,527",,0,Deep State Journal
304,defconnews.com,low,FN,L,"283,605",,,Def-Con News
305,defendingtherepublic.org,very-low,FN,L,"1,227,161",,,Defending the Republic
306,defiantamerica.com,low,FN,L,"205,806",,0,Defiant America
307,dekalbganews.com,mixed,FN,L,"20,000,000",W,-0.36,Dekalb GA News
308,dekalbtimes.com,mixed,FN,L,"20,000,000",W,-0.36,DeKalb Times
309,delawarevalleysun.com,mixed,FN,L,"10,441,499",,,Delaware Valley Sun
310,democrats.org,mixed,FN,L,"111,688",W,0.17,Democratic National Committee
311,denvercitywire.com,mixed,FN,L,"8,055,608",W,-0.36,Denver City Wire
312,deplorablekel.com,low,FN,L,"4,587,491",,0,Deplorable Kel
313,desantisdaily.com,mixed,FN,L,"319,038",,0.6,DeSantis Daily
314,desmoinessun.com,mixed,FN,L,"20,000,000",W,-0.36,Des Moines Sun
315,diamondandsilkinc.com,low,FN,L,"1,575,175",W,,Diamond and Silk
316,digifection.com,low,FN,L,"100,844",,-0.98,The Times of America
317,disclose.tv,mixed,FN,L,"93,683",W,-0.78,Disclose TV
318,discoverthenetworks.org,low,FN,L,"1,923,522",W,0.54,Discover the Networks
319,discovery.org,low,CP,L,"470,840",W,0.12,Discovery Institute
320,dissident-mag.com,very-low,FN,L,"1,691,122",,,Dissident Mag
321,distributednews.com,very-low,CP,L,"6,335,216",,-1,Hang The Censors
322,djhjmedia.com,low,FN,L,"4,936,669",,-0.8,BitChute
323,dnyuz.com,mixed,FN,L,"24,159",,0.16,Dnyuz
324,doctoroz.com,mixed,CP,L,"367,992",W,0.14,The Dr. Oz Show
325,doctors4covidethics.org,very-low,CP,L,"488,224",,-0.26,Doctors for Covid Ethics
326,donaldjtrump.com,low,FN,L,"62,924",W,-0.58,Save America
327,downeasttimes.com,mixed,FN,L,"20,000,000",W,-1,Down East Times
328,downrivertoday.com,mixed,FN,L,"20,000,000",W,-1,Down River Today
329,draxe.com,low,CP,L,"30,179",,0.05,Dr. Axe
330,drnorthrup.com,low,CP,L,"584,688",W,0.22,Dr. Northrup
331,dubuquetimes.com,mixed,FN,L,"20,000,000",W,-0.36,Dubuque Times
332,dupagepolicyjournal.com,mixed,FN,L,"2,049,015",,-0.36,Dupage Policy Journal
333,duvaltimes.com,mixed,FN,L,"20,000,000",W,-0.36,Duval Times
334,earthpulse.com,low,CP,L,"20,000,000",,0.2,Earthpulse Press
335,eastalamedanews.com,mixed,FN,L,"20,000,000",W,-0.36,East Alameda News
336,eastarapahoenews.com,mixed,FN,L,"20,000,000",W,-0.36,East Arapahoe News
337,eastarizonanews.com,mixed,FN,L,"5,976,169",W,-0.36,East Arizona News
338,eastcentralreporter.com,mixed,FN,L,"20,000,000",W,-0.36,East Central Reporter
339,eastcontracostanews.com,mixed,FN,L,"20,000,000",W,-0.36,East Contra Costa News
340,easternwaynetoday.com,mixed,FN,L,"20,000,000",W,-1,Eastern Wayne Today
341,easthillsboroughnews.com,mixed,FN,L,"20,000,000",W,-0.36,East Hillsborough News
342,eastidahotimes.com,mixed,FN,L,"20,000,000",W,-0.36,East Idaho Times
343,eastindynews.com,mixed,FN,L,"20,000,000",W,-0.36,East Indy News
344,eastkentuckytimes.com,mixed,FN,L,"20,000,000",W,-1,East Kentucky Times
345,eastlittlerocktimes.com,mixed,FN,L,"9,094,368",W,-0.36,East Little Rock Times
346,eastlouisvillenews.com,mixed,FN,L,"20,000,000",W,-1,East Louisville News
347,eastmichigannews.com,mixed,FN,L,"3,355,011",W,-1,East Michigan News
348,eastpanhandlenews.com,mixed,FN,L,"20,000,000",W,-0.36,East Panhandle News
349,eastpennyroyalnews.com,mixed,FN,L,"20,000,000",W,-1,East Pennyroyal News
350,eastsandiegonews.com,mixed,FN,L,"20,000,000",W,-0.36,East San Diego News
351,eastsbvtimes.com,mixed,FN,L,"20,000,000",W,-0.36,East SBV Times
352,eastsfvtoday.com,mixed,FN,L,"20,000,000",W,-0.36,East SFV Today
353,eastsierranews.com,mixed,FN,L,"20,000,000",W,-0.36,East Sierra News
354,easttwincities.com,mixed,FN,L,"20,000,000",W,-1,East Twin Cities
355,eastventuranews.com,mixed,FN,L,"20,000,000",W,-0.36,East Ventura News
356,eastvolusianews.com,mixed,FN,L,"20,000,000",W,-0.36,East Volusia News
357,ecalabamanews.com,mixed,FN,L,"20,000,000",W,-0.36,East Central Alabama News
