"X","id","screen_name","name","description","order","descrip_label","name_label","combo","label","is_PE"
59,1240386128177291264,"Covid19Washoe","COVID19Washoe","We are the regional public information officers joining together to help get #COVID19 messages to our community. Visit http://www.COVID19Washoe.com for more.",351,"o","o","oo","individual, non-P.E.",FALSE
60,1072228659430375424,"CuendetV","Viv","",6828,"o","o","oo","individual, non-P.E.",FALSE
61,1062237966859452416,"DCRawalpindi","Deputy Commissioner Rawalpindi","PAS Officer.
 Information and announcements are official. Opinions are personal n RTs are not endorsements.",3653,"o","o","oo","individual, non-P.E.",FALSE
62,37723353,"DKThomp","Derek Thompson","Writer at @TheAtlantic. Host of podcast CRAZY/GENIUS. Author of book HIT MAKERS. Talker on NPR's @hereandnow and @CBSNews. derek[at]theatlantic[dot]com",7019,"o","o","oo","individual, non-P.E.",FALSE
63,1310587637842010112,"DPGAlliance","Digital Public Goods Alliance","The Digital Public Goods Alliance is an initiative endorsed by the UN Secretary-General that facilitates the discovery and deployment of digital public goods.",6172,"g","g","gg","non-individual",NA
64,39308549,"DailyCaller","Daily Caller","The journalists who love America.",5754,"g","o","og","non-individual",NA
65,193272907,"DanielMaithyaKE","Daniel Maithya 🇰🇪 🇺🇬 🇿🇦","📶 2019 Top 100 Most Influential Young Kenyans
📶 FOYA East Africa Social Founder of the year 2020
📶 Digital Media Strategist
📲 0705 921 599",4574,"o","o","oo","individual, non-P.E.",FALSE
66,1215084977966190592,"DelDanHelmer","Del. Dan Helmer","Official account for Delegate Dan Helmer
Virginia's House of Delegates, 40th District",3895,"o","o","oo","individual, non-P.E.",FALSE
67,769043167228354560,"DesertTinAZ","🇺🇸 T in AZ 🇺🇸","Husband | Father of 6 | Christian | 🇺🇸 Time to Make a Difference 🇺🇸 | #MAGA | #AmericaFirst | Parler/Gab: @TroyRosenow",3123,"o","o","oo","individual, non-P.E.",FALSE
68,2238281322,"Devereaux_RBW","WRTN","I need 8 hours of sleep a day and 10 at night.
 • Libertarian • Communication Design • MA | UK",6770,"o","o","oo","individual, non-P.E.",FALSE
69,2238281322,"Devereaux_RBW","WRTN","I need 8 hours of sleep a day and 10 at night.
 • Libertarian • UK",6770,"o","o","oo","individual, non-P.E.",FALSE
70,2238281322,"Devereaux_RBW","WRTN","I need 8 hours of sleep a day and 10 at night.
 • Libertarian • UK - the truth always wins- opinions are worthless",6770,"o","o","oo","individual, non-P.E.",FALSE
71,25728193,"DrJenGunter","Jennifer Gunter","OB/GYN, appropriately confident, lasso of truth, Canadian Spice, I speak for no one but me. The Vagina Bible. Menopause Manifesto (May'21). NYT contributor.",5236,"p","o","op","Description",TRUE
72,917416223541022720,"DrNeilStone","Neil Stone","Infectious Diseases & Microbiology, UCLH & HTD. #IDTwitter Fungal Disease. Dad. First person to use the word #Covid according to the Oxford English Dictionary",531,"p","o","op","Description",TRUE
73,553581707,"DrOlufunmilayo","#OurFavOnlineDoc 🩺🇳🇬🇬🇧💎","Medical Doctor. Equalist. Devoted Nigerian. Avoid this page if truth and sarcasm makes you cry. I NEVER write for acceptance. All tweets have viewer discretion.",6319,"p","o","op","Description",TRUE
74,20396220,"Dr_Khan","Dr. Adnan Khan (Use ❤️ to beat 💔)","Chief Executive #SharifMedicalCity, Executive Director #SMRC, Director #TheHeartCentre | Physician PM #NawazSharif | #HealthEconomics #LSE #partofLSE | #WHO #UN",6261,"p","p","pp","Both",TRUE
75,20396220,"Dr_Khan","Dr. Adnan Khan | use❤️to beat💔","Chief Executive #SharifMedicalCity, Executive Director #SMRC, Director #TheHeartCentre | Physician PM #NawazSharif | #HealthEconomics #LSE #partofLSE | #WHO #UN",6261,"p","p","pp","Both",TRUE
76,1347454405986177024,"EWagensveld","EWagensveld 👊🏻🇳🇱 VRIJHEID👊🏻","Edwin Wagensveld #Pegida woordvoerder	Эдвин Вагенсвельд Пегида Вордвордер

Ook op Parler @EdwinWagensveld1968 & Telegramm @ EdwinWagensveld",4139,"f","f","ff","non-english",NA
77,1044865402541625344,"E_BotelhoNevers","Elisabeth Botelho-Nevers","MD, PhD, Professor of Infectious Diseases, academic #Univ_St_Etienne #UJM #ChuSaintEtienne #CHUSE #GHTLoire #PRESAGE #PreVacCI",6922,"p","o","op","Description",TRUE
78,767675142,"EbenYaakov","Eben Yaakov Feld","""""""""Quand tout le monde vous ment en permanence, le résultat n'est pas que vous croyez ces mensonges mais que plus personne ne croit plus rien.""""""""
Hannah Arendt",7074,"f","o","of","non-english",NA
79,43633246,"EdtheSock","Ed the Sock","Canadian Icon. Back to save the world.  Find podcasts under #FUNetwork. Starting a new online, multi-platform #CdnMusic network over at http://NewMusicNation.Ca",5216,"o","o","oo","individual, non-P.E.",FALSE
80,43633246,"EdtheSock","Ed the Sock","Canadian Icon. Back to save the world.  Find podcasts under FUNetwork. Starting a new online music channel like an updated Muchmusic. Soon.",5216,"o","o","oo","individual, non-P.E.",FALSE
81,1150553499500814336,"ElaineM11584892","Elaine McKay","Left wing nut job, life member of a union, worked at head office Sydney.",4187,"o","o","oo","individual, non-P.E.",FALSE
82,2850950135,"EmilieLacoste50","ÉmilieLacoste50","",3184,"f","o","of","non-english",NA
83,2850950135,"EmilieLacoste50","ÉmilieLacoste50","En ces fêtes de Pâques """"""""païens"""""""", et après beaucoup de doutes,  je renie aujourd'hui la religion catholique.",3184,"f","o","of","non-english",NA
84,277630334,"EmmaRoseTeitel","Emma Teitel","City Columnist @TorontoStar
formerly @Macleans",94,"o","o","oo","individual, non-P.E.",FALSE
85,17819033,"EndPolioNow","EndPolioNow","For more than 35 years @Rotary and partners have been working to #endpolio, and the eradication of polio is within our grasp. Join us!",4243,"g","g","gg","non-individual",NA
86,1307101452863762432,"EricJac73061108","Eric Jackson","",402,"o","o","oo","individual, non-P.E.",FALSE
87,422825907,"EvaUNICEF","Eva Kadilli","Director @UNICEFSupply. Shaping markets. Strengthening #supplychains. Delivering supplies #ForEveryChild to survive and thrive 📦💙",62,"o","o","oo","individual, non-P.E.",FALSE
88,4219475351,"ExitEUbefree","ExitEU","""""""""It's the  E X O S O M E  stupid!""""""""",4031,"o","o","oo","individual, non-P.E.",FALSE
89,262698969,"FDNYIMT","FDNY IMT","Official Incident Information from the FDNY Incident Management Team. Helping to bring timely and accurate information that people can use.",6313,"g","o","og","non-individual",NA
90,603018371,"Footballogue","Footballogue⭐️⭐️","Compte officiel. ✉️ footballogue@gmail.com 📸 Instagram http://sofinder.me/i/Footballogue LE FOOT EST UNE SCIENCE !",5204,"o","o","oo","individual, non-P.E.",FALSE
91,1367531,"FoxNews","Fox News","Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. http://foxnews.com/contact",3716,"g","g","gg","non-individual",NA
92,171345502,"FrankieGrazie6","Frankie Graziano","Torrington's Own. Reporter of News for @WNPR. UConn '11. Colleen’s Husband, Charlie and Annie’s Dad #GoNiners #LGM",1742,"o","o","oo","individual, non-P.E.",FALSE
93,1245709135842336768,"FranklinWaruhiu","TRENDSETTER KE🇰🇪","Fighting for a third Liberation where the government will be inclusive. Developing young and able Youthful Leaders to steer Kenya to greatness.",7357,"o","o","oo","individual, non-P.E.",FALSE
94,76104400,"FreeBritain","The CIB, Campaign for an Independent Britain","The UK's longest-running #Brexit organisation, campaigning cross-party for #Britishindependence since 1969. Hit the link 👇 to join our journey to #FreeBritain.",6538,"g","g","gg","non-individual",NA
95,1314281431703535616,"FreeTheWolfVO","Fryda Wolff","Voice actor but it's not my whole personality. Not famous, just annoying. Twitter is the only social I use. Politics/COVID: @FWTFsHappening

https://t.co/mNq9579evo",3952,"o","o","oo","individual, non-P.E.",FALSE
96,1314281431703535616,"FreeTheWolfVO","Fryda Wolff","Voice actor but it's not my whole personality. Twitter is the only social I use. Politics/COVID: @FWTFsHappening

https://t.co/6FOTHuX0va / https://t.co/gHgx7V6aAX",3952,"o","o","oo","individual, non-P.E.",FALSE
97,1314281431703535616,"FreeTheWolfVO","Fryda Wolff is COVID vaccinated 💉J&J","Voice actor but it's not my whole personality. Twitter is the only social I use. Politics/COVID: @FWTFsHappening

https://t.co/6FOTHuX0va / https://t.co/gHgx7V6aAX",3952,"o","o","oo","individual, non-P.E.",FALSE
98,1314281431703535616,"FreeTheWolfVO","Fryda Wolff is juiced on J&J 💉","Voice actor but it's not my whole personality. Twitter is the only social I use. Politics/COVID: @FWTFsHappening

https://t.co/6FOTHuX0va / https://t.co/gHgx7V6aAX",3952,"o","o","oo","individual, non-P.E.",FALSE
99,111676962,"Fregono","Fregono du Berry ن 🇫🇷","Inspecteur de l'EN honoraire
auditeur IHEDN
Patriote, souverainiste
Grand voyageur: Europe, Afrique, Amériques, Océanie, Asie... 🇫🇷",1899,"f","o","of","non-english",NA
100,111676962,"Fregono","Fregono du Berry ن 🇫🇷","Inspecteur de l'EN honoraire,
Chef de Bataillon (Réserve), IHEDN,
Patriote, souverainiste,
Grand voyageur: Europe, Afrique, Amériques, Océanie, Asie 🇫🇷",1899,"f","o","of","non-english",NA
101,111676962,"Fregono","Fregono du Berry ن 🇫🇷","Inspecteur de l'EN honoraire,
Chef de Bataillon, auditeur IHEDN,
Patriote, souverainiste,
Grand voyageur: Europe, Afrique, Amériques, Océanie, Asie... 🇫🇷",1899,"f","o","of","non-english",NA
102,111676962,"Fregono","Fregono du Berry ن 🇫🇷","Inspecteur de l'EN honoraire,
auditeur IHEDN,
Patriote, souverainiste,
Grand voyageur: Europe, Afrique, Amériques, Océanie, Asie... 🇫🇷",1899,"f","o","of","non-english",NA
103,1057383865592045568,"FusaroZila","Zilá Fusaro...💫💫🇧🇷🇧🇷🇧🇷💫💫💫","💫💫💫💫💫💫💫💫💫💫💫💫💫@MariaZil6",966,"o","o","oo","individual, non-P.E.",FALSE
104,18478452,"FutureDocs","Vinny Arora MD MAPP","Tenured Professor/Hospitalist @uchicago improve care & learning in teaching hospitals. Advocate @IMPACT4HC @costsofcare, @jhospmedicine #JHMChat. Tweets own.",6793,"p","p","pp","Both",TRUE
105,758900688,"GCobber99","Geoff Pearson","all views are mine i am sick of pollies lies trying to hold them too account our media wont",19,"o","o","oo","individual, non-P.E.",FALSE
106,257296497,"GERONursing","Dr. Jennifer Baumbusch (she/her)","Associate Professor @UBCNursing. CIHR Chair Sex & Gender Science | Dynamics of Caregiving in an Aging Society. Interests: Seniors Care; Disability Issues; Dogs",7507,"p","p","pp","Both",TRUE
107,1321920913328107520,"Gem56336989","MagaGem💎","Aussie for TRUMP MAGA Bad Memes",6161,"o","o","oo","individual, non-P.E.",FALSE
108,1.312329273622e+18,"GeoPyrate","Geo Pyrate","I love making fun of hypocrisy ...please retweet and follow me! Also promote @geopyrate to YOUR followers :)",4610,"o","o","oo","individual, non-P.E.",FALSE
109,3043958678,"GioVanDal","Jadal","Samnites, gens fortissima Italiae.
Il politicamente corretto ci seppellirà.",6959,"f","o","of","non-english",NA
110,1077214808,"GovInslee","Governor Jay Inslee","Governor of Washington. Tweets on innovation, jobs, education, clean energy & my grandkids. Building a WA that works for everyone.",1994,"o","o","oo","individual, non-P.E.",FALSE
111,250689767,"GovSC","Governo de SC","Twitter oficial do Governo do Estado de Santa Catarina. Informações, notícias, serviços, programas e ações de Governo. https://linktr.ee/governosc",2361,"o","o","oo","individual, non-P.E.",FALSE
112,1064603540956565504,"GovTimWalz","Governor Tim Walz","Dad, husband, teacher, coach, veteran. Governor of Minnesota. Working to build #OneMinnesota. Visit https://t.co/nkzBbEg8E9 for the latest on the COVID vaccine.",916,"o","o","oo","individual, non-P.E.",FALSE
113,37757178,"GovernoES","GovernoES","Conta oficial do Governo do Espírito Santo no Twitter. Acompanhe as principais notícias e ações.",1744,"f","o","of","non-english",NA
114,1092378031,"GuardianAus","Guardian Australia","Latest news from Guardian Australia",2237,"g","o","og","non-individual",NA
115,1194645969582854144,"HPVSideEffects","HPV Vaccine Side Effects","Try to educate, clarify & research about vaccine side effects. I have a degree in physics & chemistry. Not a conspiracy theorist!",458,"p","o","op","Description",TRUE
116,1116403658126581760,"HRivera72964164","Hector Rivera 🌺","For Peace and Justice
Divide & Conquer is their tactic
Finding Common Ground is ours
United We Rise",6717,"o","o","oo","individual, non-P.E.",FALSE
117,431777800,"HSajwanization","حسن سجواني 🇦🇪 Hassan Sajwani","Hassan Sajwani an #Emirati tweets #news #tech business #counterTerrorism, politics, RTs not endorsements.Patriot #الله_ثم_الوطن_ثم_رئيس_الدولة Personal account",2140,"f","o","of","non-english",NA
118,2565360157,"HansMahncke","Hans Mahncke","The great thieves lead away the little thief.

https://linktr.ee/hansmahncke",5295,"o","o","oo","individual, non-P.E.",FALSE
119,17232490,"HillsboroughFL","#CrushCOVIDHC","Hillsborough County Government tweeting about what makes #MyHillsborough a great place to live, work, and play.",7308,"g","o","og","non-individual",NA
120,2891740872,"HonAhmedHussen","Ahmed Hussen","Minister of Families, Children and Social Development / Ministre de la Famille, des Enfants et du Développement social | MP for York South-Weston. #YSW",783,"o","o","oo","individual, non-P.E.",FALSE
121,769269785855229952,"HopkinsIHHS","HopkinsIHHS","Health Systems Program in the Department of International Health at JHSPH– designing systems and strategies for delivering health care to global communities",5430,"g","o","og","non-individual",NA
122,2563529892,"HudsonCoView","Hudson County View","The Eye of the Community - Covering #Government and #Politics in #HudsonCounty 

thehudsoncountyview@gmail.com

Live & Uncut @JCHudsonMedia studio Thurs at 2",7491,"o","g","go","non-individual",NA
123,111128175,"HummaSaif","Dr Humma Saif","#CivilianSupremacy MBBS,MBA(Pak),MBA @OCUMSB FB https://www.facebook.com/FunPlatter-with-Dr-Humma-Saif-116285646884642/ IG https://www.instagram.com/funplatter/",3051,"u","p","pu","Name",TRUE
124,1286288634363158528,"I7Bomb","TruthBombsDITT01111","Back after being cancelled by Woke Big Tech ditto ditto
Early treatment information for C0V1D I9
HCQ IVERMECTIN BUDESONIDE HERE https://mergeurl.com/o/3athb",6642,"o","o","oo","individual, non-P.E.",FALSE
125,1139524920,"IEAKwame","Kwame Owino","Libertarian at a Kenyan Think Tank trying to make sense by asking: Why are we here?",7455,"o","o","oo","individual, non-P.E.",FALSE
126,1352244011419934720,"IFENewsAgency","IFE News Agency","News portal based in India. Focused on #LOC Defense and Strategic Affairs. Visit our website : https://t.co/WxqUeta4fm
On Koo: https://t.co/iB1BnHa8S5…",3436,"g","g","gg","non-individual",NA
127,1352244011419934720,"IFENewsAgency","IFE News Agency 🚨","News portal based in India. Focused on #LOC Defense and Strategic Affairs. Visit our website : http://www.ifenewsnetwork.com
On Koo: http://kooapp.com/profile/i",3436,"g","g","gg","non-individual",NA
128,771962563424817152,"INCGoa","Goa Congress","Official Twitter Handle of Goa Pradesh Congress Committee",1590,"g","g","gg","non-individual",NA
129,1323387869117915136,"IittIe_bird2","IittIe_bird2","“It is never too late to be what you might have been.”
George Eliot",5535,"o","o","oo","individual, non-P.E.",FALSE
130,1322342546819919872,"Imara58732349","Imara","SiempreBien✌️
Venezolana🇻🇪",1887,"f","o","of","non-english",NA
131,707559316774100992,"Inhrr_ve","Instituto Nacional de Higiene Rafael Rangel","Lab. de referencia en Virología,Bacteriología,Micologia| Insumos vivos para investigación| Regulador en productos de uso y consumo humano| Docencia| @MinSaludVE",6134,"f","g","gf","non-english",NA
132,102143400,"IrfanDhalla","Irfan Dhalla","Vice-president and general internist @unityhealthto, associate prof @uoftmedicine, and very fortunate husband and father.",4869,"p","o","op","Description",TRUE
133,3302113075,"IslamRizza","Rizza Islam","Is an international activist, researcher, humanitarian and author who decided at the age of 11 that he wanted to save his people. F.O.I - NOI - FARRAKHAN",2159,"o","o","oo","individual, non-P.E.",FALSE
134,1963945884,"Iyervval","Abhijit Iyer-Mitra","HRH the Archbitchess Of Mylapore & Archbitchop of the Indian Right; Pronouns: Your Celestial Intellect; my cigars cost more than your education.",453,"o","o","oo","individual, non-P.E.",FALSE
135,20670943,"JLeiper","Jeff Leiper","Cheese curd fan and pants-hesitant. Serving as city councillor in Kitchissippi ward in beautiful Ottawa ON. I probably biked here.",5801,"o","o","oo","individual, non-P.E.",FALSE
