"order","label","id","screen_name","name","description","missing"
4367,"individual, not P.E.","6782812","domknight","Dom Knight","purveyor of dubious podcasts and reference books - signed copies available at http://chasershop.com",FALSE
2142,"individual, not P.E.","6798482","jonathanoosting","Jonathan Oosting","It's pronounced oh-sting. Michigan politics reporter for @BridgeMichigan. Email joosting@bridgemi.com or reach out via DM, Signal or WhatsApp.",FALSE
5233,"P.E.","6811832","DrKarlynB","Karlyn Borysenko, most dangerous knitter alive 🧶","Org psychologist. Coach. Unwoke activist. “The most dangerous knitter alive"""""""" -Dave Rubin I'm on Locals http://kb.locals.com and Gab/Minds/Parler @ Karlyn",FALSE
2891,"individual, not P.E.","7349062","richardcalhoun","Richard Calhoun","#FreeMarkets  #SmallGovt   #Gold

No matter who you vote for under #PR ... the political classes always win.

FPTP facilitates decisive govt for the people",FALSE
2891,"individual, not P.E.","7349062","richardcalhoun","Richard Calhoun","No matter who you vote for under #PR ... the political classes always win

Amazing how the Left resort to racism when they criticise a report
on racism #Sewell",FALSE
2891,"individual, not P.E.","7349062","richardcalhoun","Richard Calhoun","""""""""If we open a quarrel between the past and the present, we shall find that we have lost the future."""""""" – Winston Churchill",FALSE
5571,"non-individual","7424642","japantimes","The Japan Times","Breaking news and features about Japan from the nation's most widely read English-language newspaper. 日本で一番読まれている英字新聞・ジャパンタイムズが発信する国内外ニュースと、様々なジャンルの特集記事。",FALSE
846,"individual, not P.E.","7429102","MarkWarner","Mark Warner","U.S. Senator from Virginia. 
Chairman, Senate Intel Committee.",FALSE
184,"individual, not P.E.","7431372","free_thinker","Pratik Sinha","Debunking Misinformation | Co-founder @AltNews | Software Engineer | Author: India Misinformed - The True Story  | E-mail: pratik@altnews.in",FALSE
2848,"individual, not P.E.","7702542","DLoesch","Dana Loesch","Talk radio host; bestselling author; #2A advocate (not affiliated with the NRA), dog lover. Throttled by Twitter with thousands of followers deleted weekly.",FALSE
2848,"individual, not P.E.","7702542","DLoesch","Dana Loesch","Nationally-syndicated talk radio host 12-3pmET; bestselling author; #2A advocate, dog lover. Throttled by Twitter with thousands of followers deleted weekly.",FALSE
2848,"individual, not P.E.","7702542","DLoesch","Dana Loesch","Nationally syndicated talk radio host 12-3pmET; author; #2A advocate, dog lover, often irreverent. Throttled by Twitter, thousands of followers deleted weekly.",FALSE
2848,"individual, not P.E.","7702542","DLoesch","Dana Loesch","Nationally syndicated talk radio host 12-3pmET; author; #2A advocate, dog lover, often irreverent. Throttled by Twitter. Beach-ball sized lady nuts.",FALSE
2848,"individual, not P.E.","7702542","DLoesch","Dana Loesch","Nationally syndicated talk radio host 12-3pmET; author; #2A advocate, dog lover, often irreverent. Throttled by Twitter.",FALSE
1781,"individual, not P.E.","7848802","thegarance","Garance Franke-Ruta","Executive editor, @GENmag at @Medium. Previously @YahooNews, @TheAtlantic, @Washingtonpost. Now in NYC. Email: garance at medium dot com.",FALSE
1781,"individual, not P.E.","7848802","thegarance","Garance Franke-Ruta","NYC-based editor, writer, and digital strategist. Previously @GENmag at @Medium @YahooNews @TheAtlantic @Washingtonpost.",FALSE
1106,"individual, not P.E.","7855062","Susan_Hennessey","Susan Hennessey","Lawfare Executive Editor, Brookings Senior Fellow, Former IC attorney.",FALSE
851,"individual, not P.E.","7900962","lhfang","Lee Fang","Investigative Journalist. @theintercept email lee.fang@theintercept.com 

Views here are my own. Send tips to me directly by email or Signal at (202) 394-9170",FALSE
3327,"non-individual","8197942","SBSNews","SBS News","Bringing you the national 🇦🇺 and global 🌏 news that matters.",FALSE
2339,"individual, not P.E.","8422662","visaraj","Narayanan","",FALSE
6941,"individual, not P.E.","8548612","normative","Julian Sanchez","He sits motionless, like a spider in the center of its web, but that web has a thousand radiations, and he knows well every quiver of each of them.",FALSE
6518,"individual, not P.E.","8805142","prempanicker","Prem Panicker","Cogito, ergo sum confusion",FALSE
2026,"individual, not P.E.","8818742","kanimozhi","Kanimozhi","Dreamer of Hindu Rashtra",FALSE
136,"individual, not P.E.","9117152","Gordonswaby","Gordon Swaby","Husband, Father and Entrepreneur (CEO, @EduFocal), very proud Jamaican 🇯🇲 and one day farmer. #AttackingTeam #EdTech",FALSE
5025,"individual, not P.E.","9155232","markpeak","Isriya Paireepairit","I co-founded @blognone @siu_thailand @wekorat @twobaht @brandinsideasia. Now work for @wongnai.",FALSE
6279,"non-individual","9567972","CNNnewsroom","CNN Newsroom","Latest news and information updates from the anchors, reporters and producers of CNN Newsroom, 9 a.m. to 4 p.m. ET and weekends on CNN.",FALSE
6364,"non-individual","9589252","votolatino","Voto Latino","We’re a grassroots political organization focused on educating and empowering a new generation of Latinx voters. We work to hold our leaders accountable.",FALSE
3499,"non-individual","9609632","australian","The Australian","News from The Australian.",FALSE
4580,"P.E.","9727442","davidkaplanmd","Dr. David M. Kaplan","husband, dad, MD, bioethicist. Chief, Clinical Quality, Ontario Heath; Associate Prof of FamMedicine, U of T; Board Member, Musical Stage Company. views mine",FALSE
6024,"P.E.","10050812","drnelk","Dov Oo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov Ooooo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov Oooooo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov OO","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov OOooo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov OOoooo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov OOooooo","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
6024,"P.E.","10050812","drnelk","Dov 4.3","All fire, no chill. Husband/Father. I philosoPHizeD about Ethics @ UVA, and ever true to Brown. Been published a few places, recently @thearsonista & @jdforward",FALSE
18,"individual, not P.E.","11104872","PatrickW","Patrick W. Watson","Mauldin Economics senior editor & macro analyst. I cover world trade, central banks, econ policy, geopolitics. Animal lover. Married/Catholic/Dad. Opinions mine",FALSE
1572,"individual, not P.E.","11589192","calamur","Harini Calamur (#StayHome)","Digital- Communication, Marketing, #SciComm, #News Filmmaker.  Columnist. Visitng Faculty,Wry Observer. Main slave to a Labradog:)  #dogs #photos #india",FALSE
1572,"individual, not P.E.","11589192","calamur","Harini Calamur (#StayHome)","Digital  Communication, Marketing, #SciComm, #News Filmmaker.  Columnist. Visiting Faculty, Wry Observer. Main slave to a Labradog:)  #dogs #photos #india",FALSE
4993,"individual, not P.E.","11616202","JayCaruso","Jay Caruso","Managing Editor @dcexaminer Mag | Past: Dallas Morning News Editorial | Seen in The Atlantic, Daily Beast, NRO. | “Oligarch apologist”",FALSE
5850,"individual, not P.E.","11647412","anivar","𝗔𝗻𝗶𝘃𝗮𝗿 𝗔𝗿𝗮𝘃𝗶𝗻𝗱","Public interest technologist. Rants on technopolitricks. Building TechCollectives, sometimes products. Married up to @joshinaa.",FALSE
3696,"non-individual","11695472","Oxfam","Oxfam International","Oxfam is a world-wide development organization that mobilizes the power of people against poverty. See also: http://instagram.com/oxfaminternational",FALSE
6879,"individual, not P.E.","11864172","derrickokeefe","Derrick O’Keefe","“Caminante, no hay camino, se hace camino al andar.” Socialist dad (good politics, bad jokes), organizer, writer/editor & media co-founder @ricochet_en",FALSE
6879,"individual, not P.E.","11864172","derrickokeefe","Derrick O’Keefe","“Caminante, no hay camino, se hace camino al andar.” Socialist dad (good politics, bad jokes), organizer, writer/editor & co-founder @ricochet_en",FALSE
3476,"non-individual","11866582","LOLGOP","LOLGOP","22 months to save democracy",FALSE
3476,"non-individual","11866582","LOLGOP","LOLGOP","21 months to save democracy",FALSE
3476,"non-individual","11866582","LOLGOP","🇺🇸LOLGOP🇺🇸","21 months to save democracy",FALSE
3476,"non-individual","11866582","LOLGOP","🇺🇸LOL🇺🇸GOP🇺🇸","21 months to save democracy",FALSE
3476,"non-individual","11866582","LOLGOP","LOL🇺🇸GOP🇺🇸","21 months to save democracy",FALSE
3476,"non-individual","11866582","LOLGOP","LOL🇺🇸GOP","21 months to save democracy",FALSE
345,"individual, not P.E.","12034642","davidakin","David Akin 🇨🇦","Chief Political Correspondent. Global News. My office is in Ottawa, Canada but I work wherever.",FALSE
345,"individual, not P.E.","12034642","davidakin","David Akin 🇨🇦","Chief Political Correspondent. Global News. My office is in Ottawa, Canada but I work wherever. Click link for my bio/disclosures.",FALSE
736,"individual, not P.E.","12046642","LtGovGilchrist","Garlin Gilchrist II","Husband; Father x 3; 64th Lieutenant Governor of Michigan #StandTALLforMichigan",FALSE
1117,"non-individual","12133382","PBS","PBS","PBS invites you to discover new ideas and explore new worlds. Join us here for conversation.",FALSE
5620,"individual, not P.E.","12354832","kasie","Kasie Hunt","@NBCNews Capitol Hill Correspondent. Host, #WayTooEarly, 5am ET M-F @MSNBC. Once/always #Wire1 @AP. Why are you awake?! Tell us: WayTooEarly@msnbc.com",FALSE
5697,"individual, not P.E.","12579352","BillyCorben","Billy Corben","Florida Man, Director of Cocaine Cowboys, 537 Votes on HBO Max, Screwball on Netflix, ESPN 30 for 30s The U and Broke, http://MagicCityHustle.com #BecauseMiami",FALSE
2668,"individual, not P.E.","12588712","RichardJMurphy","Richard Murphy","Economic justice campaigner. Visiting Professor of Accounting, Sheffield University Management School. Chartered accountant. Co-founder of the Green New Deal.",FALSE
229,"non-individual","12599562","TheAgenda","The Agenda | TVO","@TVO's current affairs program, hosted by @spaikin & @namshine
Weeknights at 8/11pm ET
📺 http://tvo.org/theagenda
📺 http://youtube.com/user/AgendaStevePaikin/",FALSE
1811,"individual, not P.E.","12680732","cumiastowski","Chris Umiastowski","Investor, engineer, tech geek, ex stock analyst. Self employed father/husband obsessed with learning, wellness, fitness.",FALSE
2806,"individual, not P.E.","13006932","joshgnosis","Josh Taylor","Reporter @GuardianAus. Tech, infosec, FOI, politics, and media. Pop culture geek. Tips: taylorjosh@protonmail.com + wickr: JoshTaylor. 🌈",FALSE
2806,"individual, not P.E.","13006932","joshgnosis","Josh Taylor","On leave til 16/4. Reporter @GuardianAus. Tech, infosec, FOI, politics, and media. Pop culture geek. Tips: taylorjosh@protonmail.com + wickr: JoshTaylor. 🌈",FALSE
2846,"P.E.","13015332","thattai","Mukund Thattai","Accidental biologist. Tweeting about cool biology, science in India, art/science engagement.",FALSE
3424,"individual, not P.E.","13015662","MKumaramangalam","Mohan Kumaramangalam மோகன் குமாரமங்கலம்","More than the sum of my parts",FALSE
1928,"individual, not P.E.","13507702","ernamh","Erna Mahyuni","Angry geek, combative Dusun Sabah. @malaymail columnist. Ex-Stuff/IGN asia Email [earnestlyerna]AT geemail Instagram: @ernamh",FALSE
4879,"individual, not P.E.","13524182","daveweigel","Dave Weigel","Covering politics for @washingtonpost. daveweigel@gmail.com, 202-334-7387. @CWAUnion member. Buy my book: http://tinyurl.com/h7wyg2c (Avatar by @damnyouregis)",FALSE
2154,"non-individual","13737002","mrctv","MRCTV","Your one-stop-shop for the best conservative videos! We're at the Media Research Center @theMRC.",FALSE
6794,"individual, not P.E.","13829492","Garrett_Archer","The AZ - abc15 - Data Guru","Husband, Dad, Catholic liturgical music brat. Odd path to journalism. Data Analyst for @abc15 and Oracle of #ElectionTwitter e: garrett.archer@abc15.com",FALSE
6794,"individual, not P.E.","13829492","Garrett_Archer","The AZ - abc15 - Data Guru","Husband, Dad, Catholic music sponge. Former elections official.  Now data/political analyst @abc15. Oracle of #ElectionTwitter e: garrett.archer@abc15.com",FALSE
4942,"individual, not P.E.","13829742","Dafrosty","DaRurat","Lyricist. Mix engineer. Audio lecturer. The Bat Cave. Kelawar Records",FALSE
4942,"individual, not P.E.","13829742","Dafrosty","Darurat","Lyricist. Mix engineer. Audio lecturer. The Bat Cave. Kelawar Records",FALSE
3496,"individual, not P.E.","14050532","mcpete","Steve W","Check your sources - if you hear something you don't like, double check it. If you hear something you do like, triple check it.

Now insta-blocking all FBPE",FALSE
4525,"individual, not P.E.","14065526","narayananh","Narayanan Hariharan","Side: @NithyaKarma. I make numbers tick. Ex-Head - Sales, Mktg @Pickyourtrail. Earlier co-founded Effect Works, NFN Labs, Extragram. #F1, @PassingPorts = ❤️",FALSE
3123,"individual, not P.E.","14072047","SachinKalbag","Sachin Kalbag","Exec Editor @httweets (Mumbai, Pune) | Acad Council @HSNCUniversity | OLD: R.E. @THMumbai, Editor @mid_day, US Correspondent, DNA | VIEWS: Mine | RELIGION: Sumo",FALSE
3123,"individual, not P.E.","14072047","SachinKalbag","Sachin Kalbag | Wear a Mask and Get Vaccinated","Exec Editor @httweets (Mumbai, Pune) | Acad Council @HSNCUniversity | OLD: R.E. @THMumbai, Editor @mid_day, US Correspondent, DNA | VIEWS: Mine | RELIGION: Sumo",FALSE
4334,"individual, not P.E.","14075981","gelles","David P Gelles","Executive Producer, CNN Political & Special Events Programming",FALSE
904,"individual, not P.E.","14098607","jkfecke","Jeff Fecke","/dʒɛf 'fɛk.iː/

Politics is a strong and slow boring of hard boards. It takes both passion and perspective. - Max Weber",FALSE
5752,"individual, not P.E.","14102215","keithedwards","Keith Edwards","Advisor @Holly_4Congress. Alum @ossoff, @ProjectLincoln, @Mike2020, @NYCSpeakerCoJo. Fmr small business owner, reality TV producer, and KFC cook.",FALSE
3768,"individual, not P.E.","14133760","rkylesmith","Kyle Smith","Critic-at-large @NRO, fellow @NR_institute, columnist @nypost & literary critic @NewCriterion. Turned off notifications from those who don’t follow me.",FALSE
3768,"individual, not P.E.","14133760","rkylesmith","Kyle Smith","Critic-at-large @NRO, fellow @NR_institute, columnist @nypost & theater critic @NewCriterion. Turned off notifications from those who don’t follow me.",FALSE
1338,"individual, not P.E.","14135350","biannagolodryga","Bianna Golodryga","@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",FALSE
2719,"individual, not P.E.","14146966","aravosis","John Aravosis 🇺🇸🇬🇷🏳️‍🌈","Editor of @AMERICAblog & CyberDisobedience, co-host @UnPresidentPod. Gtown JD/MSFS. Past: UN, The Economist, CDF, US Senate. Called wacko by Rush. SP/FR/IT/GR",FALSE
5831,"individual, not P.E.","14168372","Shabbosgoy","JohnGilmore","Contributor to @thehill, published at @AlphaNewsMN, @securefreedom. Called """"""""a sad & hateful man"""""""" by Ilhan Omar. Blogs at MN Conservatives: https://t.co/7i4C1j8Eos",FALSE
75,"individual, not P.E.","14188527","jackmjenkins","Jack Jenkins","National Reporter for @RNS. """"""""Workaday writer."""""""" Author of """"""""American Prophets"""""""" from @HarperOneBooks — soon in paperback! Order here: https://t.co/6htatPk3EX",FALSE
75,"individual, not P.E.","14188527","jackmjenkins","Jack Jenkins","National Reporter for @RNS. """"""""Workaday writer."""""""" Author of """"""""American Prophets"""""""" from @HarperOneBooks—soon in paperback! Order: http://jackjenkins.me/splash.html",FALSE
75,"individual, not P.E.","14188527","jackmjenkins","Jack Jenkins","National Reporter for @RNS. """"""""Workaday writer."""""""" Author of """"""""American Prophets"""""""" from @HarperOneBooks—now in paperback! Order: http://jackjenkins.me/splash.html",FALSE
5901,"individual, not P.E.","14202817","scalzi","John Scalzi","I enjoy pie.",FALSE
5951,"individual, not P.E.","14205726","santhoshd","Santhosh D'Souza","""""""""No man is an island entire of itself; every man
is a piece of the continent...
therefore never send to know for whom
the bell tolls; it tolls for thee""""""""
#Resist",FALSE
1425,"non-individual","14221917","PhillyInquirer","The Philadelphia Inquirer","The Philadelphia Inquirer is your front-row seat to the Greater Philadelphia region. You can support local, impactful journalism at https://t.co/Dw4BC5NdNs.",FALSE
6372,"individual, not P.E.","14231419","RobSilver","Rob Silver","I talk baseball on Launch Angle podcast - the world’s 2nd best fantasy baseball podcast. 2016 NFBC Main Event overall winner. Sometimes I talk Canadian politics",FALSE
1670,"individual, not P.E.","14236800","proteinwisdom","Mulder’s Unapologetic Trailer Park Dispatches","Writer, former academic, and liberty activist. My opinions are mine, they're real, and they're FABULOUS!",FALSE
4288,"non-english","14237828","MarleneSchiappa","🇫🇷 MarleneSchiappa","Ministre depuis 2017, féministe depuis toujours. Romancière & essayiste. 
#MamanTravaille 
#NeRienLaisserPasser",FALSE
1287,"individual, not P.E.","14246657","SteveKrak","Steve Krakauer","Expat Northerner. Adopted Texan. EP @MegynKellyShow podcast. Editor/Host @FourthWatch newsletter and podcast. Past: CNN, TheBlaze, Mediaite, TVNewser, NBC, Cuse",FALSE
3623,"non-individual","14269008","TheTyee","The Tyee","British Columbia's best-read online news magazine. Paywall free since 2003. Support independent journalism: http://support.thetyee.ca",FALSE
3249,"individual, not P.E.","14272129","iFearlessSingh","Sardar Lucky Singh 🇮🇳","NATION FIRST 🇮🇳 । Unapologetic SIKH | Back up account : @iProudSikh | 🚨 SHADOW BANNED NOW 🚨 SM Incharge : East Vidarbha, @BJP4Maharashtra & @bjp4ngpDistrict",FALSE
3249,"individual, not P.E.","14272129","luckyschawla","Sardar Lucky Singh 🇮🇳","NATION FIRST 🇮🇳 । Unapologetic SIKH | Back up account : @iProudSikh | 🚨 SHADOW BANNED NOW 🚨 SM Incharge : East Vidarbha, @BJP4Maharashtra & @bjp4ngpDistrict",FALSE
4084,"non-individual","14281853","Conservatives","Conservatives","🇬🇧💙 We're going to #BuildBackBetter 🌳 Join us today 👇",FALSE
4084,"non-individual","14281853","Conservatives","Conservatives","💙 #VoteConservative on Thursday, 6th May 🗳",FALSE
5496,"individual, not P.E.","14294400","TimWattsMP","Tim Watts MP","Labor Member for Gellibrand, Shadow Asst Minister for Communications & Cybersecurity. Authorised: Tim Watts, 97 Geelong Rd, #Footscray.",FALSE
6000,"individual, not P.E.","14300638","SandeepParekh","Sandeep Parekh","Securities lawyer",FALSE
1430,"individual, not P.E.","14307494","DavidLat","David Lat","Lawyer turned writer: Original Jurisdiction, https://t.co/t9fbJKZfNZ. Founder, AboveTheLaw/@ATLblog. Author, @SCOTUSambitions. Survivor, #COVID #ventilator.🏳️‍🌈",FALSE
1919,"individual, not P.E.","14308180","robert_spalding","General Spalding","Author of STEALTH WAR. http://linktr.ee/GeneralSpalding Equality under the law. Economic opportunity. Service. Integrity. Innovation.",FALSE
1767,"non-english","14312300","jhamel","Jonathan Hamel","“Les lois inutiles affaiblissent les lois nécessaires.” - Montesquieu
#Bitcoin",FALSE
5186,"P.E.","14324887","mekki","Mekki MacAulay, PEng, PhD (he/they)","I lead the #OpenSource #Strategy #Consulting Practice @IBMCanada #ailurophile #videogames #beer #nerd #geek #Toronto #PhD #PEng #AcademicTwitter Tweets My Own",FALSE
5186,"P.E.","14324887","mekki","Mekki MacAulay, PEng, PhD (he/they)","Financial Services Sector Red Hat Practice @IBMCanada #ailurophile #videogames #beer #nerd #geek #Toronto #PhD #PEng #AcademicTwitter Tweets My Own",FALSE
