"","id","order","screen_name","name","name_label","description","descrip_label"
"15","1230463969",4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN 🇳🇬 🇨🇦","g","ICU Nurse. Christian. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.","p"
"16","1230463969",4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN 🇳🇬 🇨🇦","","ICU/ER Nurse. Christian. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.",""
"17","1230463969",4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN 🇳🇬 🇨🇦","","ICU/ER Nurse. Instructor. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.",""
"18","1499607608",2170,"sallyKP","sally","o","Follower of Jesus, vaccine risk aware, pro informed consent, freedom fighter.❤️ Gab: @SallyKP4 & Parler: @SallyKP","o"
"19","742143",1062,"BBCWorld","BBC News (World)","g","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport","g"
"20","4216062853",6675,"SallyLawry","💧Sally Lawry","o","Australians deserve better than the LNP. It's time for Integrity! Murdoch free house . Union member. Black lives matter . Asylum seekers need kindness","o"
"21","14946895",1367,"virginianpilot","The Virginian-Pilot","g","Breaking news and reporting for Hampton Roads and Virginia since 1865.","g"
"22","758900688",1402,"GCobber99","Geoff Pearson","o","all views are mine i am sick of pollies lies trying to hold them too account our media wont","o"
"23","17794234",3011,"willyloman1","Scott Creighton","o","Conformity is the jailer of freedom and the enemy 
of growth. JFK","o"
"24","55330244",176,"Rifleman4WVU","T","o","Love my Wife, Family and Country and want to keep what the Founders wanted for it, Life, Liberty & The Pursuit of Happiness! Mountaineers are Always Free 🇺🇸","o"
"25","20106357",7053,"robinmonottibis","Robin Monotti FRSA🌸","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ➡️ https://t.co/Et4Vcdxkuq","o"
"26","20106357",7053,"robinmonottibis","Robin Monotti🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ➡️ http://t.me/robin",""
"27","20106357",7053,"robinmonottibis","Robin Monotti 🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ➡️ http://t.me/robin",""
"28","20106357",7053,"robinmonottibis","Robin Monotti 🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"29","20106357",7053,"robinmonottibis","Robin Monotti MA FRSA 🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"30","20106357",7053,"robinmonottibis","Robin Monotti MA FRSA🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"31","20106357",7053,"robinmonottibis","Robin Monotti","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"32","20106357",7053,"robinmonotti2","Robin Monotti","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"33","20106357",7053,"robinmonotti2","Robin Monotti 🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"34","20106357",7053,"robinmonotti2","Robin Monotti🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"35","20106357",7053,"robinmonotti2","Robin Monotti FRSA 🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"36","20106357",7053,"robinmonotti2","Robin Monotti FRSA","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"37","20106357",7053,"robinmonotti2","Robin Monotti FRSA🌸","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg",""
"38","20106357",7053,"robinmonotti2","Robin Monotti FRSA","","Architect of the Monotti Protocol, Yacht House & Spiral Tower Designer of Watering Holes for the Royal Parks Producer of The Book of Vision http://t.me/robinmg",""
"39","20106357",7053,"robinmonotti2","Robin Monotti FRSA","","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision https://t.co/Et4Vcdx",""
"40","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","Architect of the Monotti Protocol, Yacht House & Spiral Tower Designer of Watering Holes for the Royal Parks Producer of The Book of Vision http://t.me/robinmg",""
"41","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","Architect of the Monotti Protocol, Yacht House & Spiral Tower. Designer of Watering Holes Royal Parks. Producer of The Book of Vision  http://t.me/robinmg",""
"42","20106357",7053,"robinmonotti2","Robin Monotti Graziadei FRSA","","Architect: Monotti Protocol, Yacht House & Spiral Tower. Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"43","20106357",7053,"robinmonotti2","Robin Monotti Graziadei FRSA","","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"44","20106357",7053,"robinmonotti2","Robin Monotti Graziadei FRSA","","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. 📽 Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"45","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA. Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"46","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. 📽 Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"47","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"48","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg",""
"49","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg",""
"50","20106357",7053,"robinmonotti2","Robin Monotti Graziadei 🌸","","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg",""
"51","20106357",7053,"robinmonotti2","Robin Monotti Graziadei 🌸","","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg",""
"52","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg",""
"53","20106357",7053,"robinmonotti2","Robin Monotti","","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg",""
"54","20106357",7053,"robinmonotti2","Robin Monotti","","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg",""
"55","20106357",7053,"robinmonotti2","Robin Monotti Graziadei","","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg",""
"56","20106357",7053,"robinmonotti2","Robin Monotti Graziadei 🌸","","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg",""
"57","39308549",4959,"DailyCaller","Daily Caller","o","The journalists who love America.","o"
"58","537795028",4295,"JReinerMD","Jonathan Reiner","o","Professor of Medicine and Surgery @GWSMHS @GW_MFA, Interventional Cardiologist, @CNN Medical Analyst, @ScribnerBooks author","p"
"59","22646514",5627,"NewstalkFM","NewstalkFM","g","We aim to engage, challenge, inform, and entertain. Tune in: 106-108FM or http://newstalk.com/listenlive","o"
"60","15012486",2894,"CBSNews","CBS News","g","Your source for original reporting and trusted news.","o"
"61","532562634",6354,"JudgeClayJ","Clay Jenkins","o","Chief Elected Official of Dallas County. 2nd Largest County in the Lone Star State. Known in TX as the County Judge. Home to 2.7 million. RTs not endorsements.","g"
"62","162071541",5381,"ShaunLintern","Shaun Lintern","o","Health correspondent @independent. 'Almost unstoppable' in pursuit of #patientsafety. Helped expose #MidStaffs. Public interest journalism matters. #E17","p"
"63","87775422",2052,"ChinaDaily","China Daily","g","Start a conversation as we share news and analysis from #China and beyond.","g"
"64","560046845",5305,"iTerryTommy","Terrance...","o","...with an ayyyeee | skeptical & distant | everyone is awful","o"
"65","115465588",1602,"regionofpeel","Region of Peel","o","Monitored Mon-Fri 8:30-4:30 excluding holidays. Call 905-791-7800 for service info or visit http://peelregion.ca. For emergencies call 911.","o"
"66","94143125",203,"fekubawa","जूमला किंग","f","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi @INCSMV #UnfollowGodiMedia सत्यमेव जयते","o"
"67","94143125",203,"fekubawa","जूमला किंग","","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi #UnfollowGodiMedia सत्यमेव जयते",""
"68","94143125",203,"fekubawa","जूमला किंग","","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi #MyLeaderRahulGandhi #UnfollowGodiMedia सत्यमेव जयते",""
"69","1468961041",3698,"WilmaSlurrie","Mrs & Mr Slurrie","o","Joint effort. One drums in The Trolling Stones; other authored: 'Momzers, fermented cabbage, gump-stumps & slush-bags: the history of RWNJ’.","o"
"70","590211920",1891,"libertytarian","David Knight","o","Podcast: https://t.co/YFjzf8zhIg
LIVE M-F 9am EASTERN DLive/Trovo
Links to ALL programs & media: https://t.co/gYj6eFVKPq
DavidKnightShow@protonmail.com","o"
"71","389067673",1592,"CBCFletch","Robson Fletcher","o","Reporter / Editor with @CBCCalgary, focusing on data & analysis. Views my own and subject to change, especially in light of new evidence. robson.fletcher@cbc.ca","o"
"72","16406877",2379,"RobertGehrke","Robert Gehrke","o","Word monger, Enemy of the American People, columnist at http://sltrib.com. Official 2020 Survivor.","o"
"73","155581583",3588,"robbysoave","Robby Soave","o","@reason senior editor. 2016 @forbes 30 Under 30 list. Author of """"""""Panic Attack: Young Radicals in the Age of Trump."""""""" Available now: http://bit.ly/2t6lO23","o"
"74","3004769941",6828,"aaron_ashley1","Aaron Ashley","o","Can't stand bullshit, blatant lying to my face, crap cover stories or any other horse shit.","o"
"75","13001192",6136,"kare11","KARE 11","o","KARE 11 News, http://kare11.com and the KARE 11 app are the places to go for all your news, weather, sports and traffic. Part of #teamTEGNA","o"
"76","2571092894",2851,"lordvanvan","lafont","o","","o"
"77","576533046",884,"srinivasiyc","Srinivas B V","o","National President - @IYC | Best Youth Worker awardee - Karnataka State Government | Views are purely personal.","p"
"78","576533046",884,"srinivasiyc","Srinivas B V","","National President - @IYC | Best Youth Worker awardee - Karnataka State Government | Views are purely personal | Volunteer - #SOSIYC |",""
"79","23136887",2274,"wesbury","Brian Wesbury","o","Chief Economist, First Trust Portfolios LP. The Antidote to Conventional Wisdom. Eagle Scout. Northwestern MBA. And, yes, I own a John Deere tractor!","o"
"80","43633246",3085,"EdtheSock","Ed the Sock","o","Canadian Icon. Back to save the world.  Find podcasts under FUNetwork. Starting a new online music channel like an updated Muchmusic. Soon.","o"
"81","43633246",3085,"EdtheSock","Ed the Sock","","Canadian Icon. Back to save the world.  Find podcasts under #FUNetwork. Starting a new online, multi-platform #CdnMusic network over at http://NewMusicNation.Ca",""
"82","741903096",7192,"WakeAustralia","WAKE UP AUSTRALIA WAKE UP","o","Just offering you my perception of the truth. Take it or leave it. No other agenda.","o"
"83","378385961",7027,"PennyGill3","Penny Gill","o","President: Autism/PDD Family Alliance.  University of Toronto Law, 1981. Seeking sound political governance & challenging its foes. I speak for myself here.","o"
"84","2320796668",5454,"Levi_Owen2000","Levi Owen","o","🇺🇸🇬🇧 20. Rotherham 📍","o"
"85","12699932",5836,"SunSentinel","South Florida Sun Sentinel","o","The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Winner of the 2019 Pulitzer Prize Gold Medal For Public Service.","g"
"86","200434844",2486,"hildabast","Hilda Bastian, PhD","p","Meta-science (PhD), writing, cartoons. Absolutely Maybe @PLOS, Statistically Funny on bias & clinical epidemiology. Occasionally @TheAtlantic @WIRED @BMJ_Latest","n"
"87","84366480",3426,"OttawaHealth","Ottawa Public Health","g","Ottawa’s leading source for health information, programs & services. Prevention, promotion, & protection for healthy communities.
Français = @OttawaSante","p"
"88","7565522",3723,"chikawatanabe","Chika","o","Personal: http://facebook.com/chika
Work: http://facebook.com/svopen
http://linkedin.com/in/chikawatana…
Clubhouse: @chikaw

時々アップするブログはリンク先↓","f"
"89","7565522",3723,"chikawatanabe","Chika","","Personal: http://facebook.com/chika Work: http://facebook.com/svopen http://linkedin.com/in/chikawatana… Clubhouse ID: chikaw 時々アップするブログはリンク先↓",""
"90","292432829",5574,"jemillerwbal","Jayne Miller","o","Investigative Reporter WBAL-TV  Contact me: jemiller@hearst.com  Links and RTs aren't endorsements. Opinions are my own.","o"
"91","84684955",3052,"ArmstrongDrew","Drew Armstrong","o","Senior editor for health care at Bloomberg. Punching numbers and tracking vaccines. https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution","o"
"92","907243363",793,"jambar2021","JAMBAR","o","The primary objective of CLE is to provide intellectual and practical content aimed at increasing the professional competence of attorneys.","o"
"93","16425419",3148,"ksatnews","KSAT 12","o","News from KSAT12 and http://ksat.com; also see https://www.facebook.com/KSAT12/ and follow @ksatweather for weather updates.","o"
"94","3794682452",4223,"WHOWPRO","World Health Organization (WHO) Western Pacific","g","World Health Organization @WHO in Western Pacific Region, home to 1.9B people. See latest tweets for updated #COVID19 advice. Regional Director @takeshi_kasai.","g"
"95","3794682452",4223,"WHOWPRO","World Health Organization (WHO) Western Pacific","","World Health Organization @WHO in the Western #Pacific Region, 🏠 to 1.9B in #Asia & #Oceania. See new tweets for updated #COVID19 advice. ➡️ RD @takeshi_kasai",""
"96","32411838",7108,"Kennymack1971","V'Shawn From Westview,NJ","o","No time for your bullshit.","o"
"97","32411838",7108,"Kennymack1971","Sam from Delacroix, LA","","No time for your bullshit.",""
"98","3288075858",4565,"bruce_haigh","Bruce Haigh","o","Former diplomat and political commentator   

haigh.bruce@bigpond.com","o"
"99","1092378031",1683,"GuardianAus","Guardian Australia","g","Latest news from Guardian Australia","g"
"100","17232490",1688,"HillsboroughFL","#CrushCOVIDHC","g","Hillsborough County Government tweeting about what makes #MyHillsborough a great place to live, work, and play.","g"
"101","14247236",6984,"funder","Scott Dworkin","o","Co-Founder & Executive Director @TheDemCoalition. @DworkinReport pod. Journalist. Investigator. Author. Musician. Obama alum. #TheResistance forever.","o"
"102","18486881",3015,"femaregion4","FEMA Region 4","g","This channel provides FEMA mission-related information. For emergencies,
call your local fire/EMS/police or 9-1-1. Serving: AL, FL, GA, KY, MS, NC, SC, TN.","g"
"103","2726522922",1197,"BrasilWire","Brasil Wire","o","Independent news & analysis on Brasil in English since 2014. @progintl partner.","o"
"104","194962896",6749,"KejanHaynes","Kejan Haynes","o","Host: Long Story Short on @wesncc
Former writer at @ny1 Graduate of @columbiajourn. Alum CNMG now TTT @telesurenglish @tv6tnt","g"
"105","16106584",6252,"stillgray","Ian Miles Cheong","o","I say the quiet part out loud.","o"
"106","8953122",7658,"PolitiFact","PolitiFact","o","Home of the Truth-O-Meter and independent fact-checking. Part of @Poynter. Sign up for our newsletter: https://bit.ly/2Y1o3Ui","o"
"107","11911322",1374,"philippejuvin","🇫🇷 🇪🇺 Pr Philippe Juvin, MD PhD","p","Maire #LR @Lagarenne, Professeur de médecine, chef des Urgences @HopitalPompidou, Ex OPEX Afghanistan. Auteur : Je ne tromperai jamais leur confiance, Gallimard","p"
"108","398998659",6615,"Chavez_Fndn","Chavez Foundation","o","Inspiring and transforming communities through social enterprises that address essential human, cultural and community needs. #sisepuede","o"
"109","377026626",123,"WorldBankSAsia","World Bank South Asia","g","Gateway to the World Bank's activities in South Asia including Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, & Sri Lanka. Talk to us!","g"
"110","19834403",5831,"NYCMayor","Mayor Bill de Blasio","o","Fighting every day to make New York the fairest big city in America. He/him/his. (http://nyc.gov/socialmediapolicy)","o"
"111","18947832",4844,"AnnieYuTV","Annie Yu","o","Mom + wife. Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in #DMV. Left handed ✍️  If not now, when? - Eckhart Tolle http://WUSA9.com","o"
"112","18947832",4844,"AnnieYuTV","Annie Yu","","Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in the #DMV. Left handed ✍️ If not now, when? -Eckhart Tolle http://WUSA9.com",""
"113","2736988902",6197,"SKodineya","Kodineya Surender Sharma","o","Something never change.                                                   
Alone and happy 😎.
🙈🙉🙊..........","o"
"114","936078120",75,"NathanStall","Nathan Stall","o","Geriatrics/Internal Med @SinaiHealth. Research Fellow @WCRInstitute. PhD(c) Clin Epi @ihpmeuoft. CSTP @UofT_DoM. Vanier Scholar @CIHR_IRSC. Assoc Editor @CMAJ.","p"
"115","4081035674",3579,"9thFloorAZ","The 9th Floor","o","Official account of the Office of Arizona Governor @DougDucey providing an inside look at the day-to-day operations of the governor and his staff","g"
"116","58340767",1744,"tylermeredith","Tyler Meredith","o","Director of Economic Strategy and Planning for 🇨🇦’s Minister of Finance. Frmr economic & social policy for Justin Trudeau. Opinions expressed my own. #cdnpoli","o"
"117","586750554",241,"leew2030","L","o","cry later but for now lets enjoy the laughter","o"
"118","27773430",7191,"ashkaur","Ash Kaur MSc MSc MD","o","GP/Obstetrics/Palliative/LTC/Addictions 🩺| COD Exec @OnCall4ON | ੴ | Mom to 2 👦🏽 & 1 🧔🏽| Tweets my own but trolls argue otherwise 🤦🏽‍♀️| PunjabiNewf 🦁🐟","o"
"119","38882862",4221,"renatobarrosbr","Renato Barros 🧠","o","Apresentador do Canal Questione-se, pró 🇮🇱, Trump e Bolsonaro. Deus acima de tudo.
Estudante de Ciência Política.","f"
"120","151432737",7524,"rupasubramanya","Rupa Subramanya","o","Columnist @NationalPost @NikkeiAsia /Previous bylines WSJ @ForeignPolicy /Economist/Wannabe tennis Pro/Distinguished Fellow @asiapacificfdn Coauthor:Indianomix.","o"
"121","151432737",7524,"rupasubramanya","Rupa Subramanya","","Economics/IR. Columnist @NationalPost @NikkeiAsia .Previous bylines @WSJ @ForeignPolicy .Distinguished Fellow @asiapacificfdn . Coauthor: Indianomix (RH 2012)",""
"122","2850950135",1276,"EmilieLacoste50","ÉmilieLacoste50","o","","f"
"123","2850950135",1276,"EmilieLacoste50","ÉmilieLacoste50","","En ces fêtes de Pâques """"""""païens"""""""", et après beaucoup de doutes,  je renie aujourd'hui la religion catholique.",""
"124","19983221",6345,"PA","PA Media","g","#Breaking news, developing stories, features and more from the UK’s national news and sport agency.","g"
"125","368050288",803,"JulieZauzmer","Julie Zauzmer","o","I write about DC's local government and the people who live here for @WashingtonPost. I used to report on religion in America. I'm a balloon twister.","o"
"126","18469669",1249,"saifedean","Saifedean.com","g","Author of The #Bitcoin Standard, out in 24 languages. Working on the sequel, The Fiat Standard & an economics textbook. Subscribe to receive new chapters weekly","o"
"127","77732185",4123,"drharshvardhan","Dr Harsh Vardhan","p","Minister for Health & Family Welfare, Science & Tech, Earth Sciences. ENT Surgeon Chairman, Exec Board, WHO Chairman, STOP TB Board Author -A Tale Of Two Drops.","p"
"128","10433782",3116,"mercnews","Mercury News","g","Latest Silicon Valley and San Francisco Bay Area news from reporters & columnists at The Mercury News.","g"
"129","15754281",4251,"USATODAY","USA TODAY","g","The latest news and most interesting stories from USA TODAY. News that's meant to be shared.","g"
"130","1514706787",2011,"JohnFraserOS","John Fraser","o","MPP for Ottawa South/député provincial d’Ottawa-Sud. Husband, father and grandfather of Vaughan, Sloane & Fraser.","o"
"131","2707311541",2914,"subsix848","Angry Optimist","o","If someone told you in March that kids would be kept out of school for a year, due to a virus less dangerous to them than the flu, would you have believed them?","o"
"132","20670943",5723,"JLeiper","Jeff Leiper","o","Cheese curd fan and pants-hesitant. Serving as city councillor in Kitchissippi ward in beautiful Ottawa ON. I probably biked here.","o"
"133","38027006",5673,"JemilahMahmood","Dr Jemilah Mahmood","p","Health Professional, Humanitarian &  “Farmer”. Passionate about planetary health, innovation, gender & social justice.Tweets my own, retweets not endorsement.","p"
"134","108419001",114,"CBCLorenda","Lorenda Reddekopp","o","CBC News reporter in Toronto, mainly covering #onpoli & #Covid19. Hablo español. Originally from Sask. News tips: lorenda.reddekopp@cbc.ca","o"
"135","22898078",1732,"UKinVietnam","UK in Vietnam🇬🇧🇻🇳","o","Official account of the British Embassy Hanoi and British Consulate-General HCMC. Follow our HMA @GarethWardUK and HMCG @EmilyHamblinUK.","g"
"136","121639467",4389,"7NewsMelbourne","7NEWS Melbourne","g","7NEWS - nightly at 6.00 with @Peter_Mitchell7, @timwatson32, @JaneBunn (Sun-Thur) and @mikeamor7, @Jacquifelgate, @MelinaSarris7 (Fri-Sat).","o"
"137","121639467",4389,"7NewsMelbourne","7NEWS Melbourne","","7NEWS at 6pm with @Peter_Mitchell7, @timwatson32, @JaneBunn (Sun-Thur) and @mikeamor7, @Jacquifelgate, @MelinaSarris7 (Fri-Sat).",""
"138","136693171",2376,"ajayrdave","Ajay Dave","o","Track Geo-Political-Economic-Social situations.

Koo: https://t.co/1GHr82feGt

Gab: https://t.co/YjewrYAQA6

Parler: https://t.co/PRcmI806Uy…","o"
"139","136693171",2376,"ajayrdave","Ajay Dave","","Track Geo-Political-Economic-Social situations.",""
"140","73767560",3225,"MariolaPR","Mariola Rivera Reyes","o","Hija, nieta, madre, pediatra, neumóloga pediátrica. MD/PhD. Diáspora no more. Jíbara y Salvaje.","f"
"141","26849735",2046,"KatherineEban","Katherine Eban","o","Investigative journalist. Vanity Fair contributing editor. NYT bestselling author #BottleofLies. Andrew Carnegie fellow. On the side of animals. DM 4 Signal.","o"
"142","66953063",7404,"LukaRenko","Luka Renko","o","Coach/mentor of managers. Investor. Sailor. Founder of @sledilnik, admin on http://pojalabanda.com.","o"
"143","17388662",1181,"bgsu","Bowling Green State University","g","A place where you will Belong, Stand Out and Go Far.","g"
"144","17388662",1181,"bgsu","Bowling Green State University","","A place where you will Belong, Stand Out and Go Far. #BGSU",""
"145","2930935453",337,"ThePrintIndia","ThePrintIndia","g","Substance of print, Reach of digital. Also follow our other handles @ThePrintScience, @ThePrintHindi, @ThePrintOTC","g"
"146","277630334",4519,"EmmaRoseTeitel","Emma Teitel","o","City Columnist @TorontoStar
formerly @Macleans","o"
"147","27182410",2305,"TheeAdamRich","Adam Rich🤟🏼","o","FORMER PRISONER {actor & writer} NOTverified*~Guaranteed me©️ I should be, but I’m not dead yet! Thy Wiki page is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿","o"
"148","27182410",2305,"TheeAdamRich","Adam Rich💙⚾️🇺🇸","","FORMER PRISONER {actor & writer} NOTverified*~Guaranteed me©️ I should be, but I’m not dead yet! Thy Wiki page is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿",""
"149","27182410",2305,"TheeAdamRich","Adam Rich⚾️🌎🇺🇸","","FORMER PRISONER {actor & writer} NOTverified*~Guaranteed me©️ I should be, but I’m not dead yet! Thy Wiki page is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿",""
"150","27182410",2305,"TheeAdamRich","Adam Rich⚾️🌎💙🇺🇸","","FORMER PRISONER {actor & writer} NOTverified*~Guaranteed me©️ I should be, but I’m not dead yet! Thy Wiki page is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿",""
"151","27182410",2305,"TheeAdamRich","Adam Rich 🌎⚾️🇺🇸","","Former Captive {Actor & Writer} NOTverified*~Guaranteed me®️I should be dead, yet I’m still here  🏁...Thy Wiki is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿",""
