"X","id","order","screen_name","name","name_label","description","descrip_label","combo","label","is_PE"
75,13001192,6136,"kare11","KARE 11","o","KARE 11 News, http://kare11.com and the KARE 11 app are the places to go for all your news, weather, sports and traffic. Part of #teamTEGNA","o","oo","individual, non-P.E.",FALSE
76,2571092894,2851,"lordvanvan","lafont","o","","o","oo","individual, non-P.E.",FALSE
77,576533046,884,"srinivasiyc","Srinivas B V","o","National President - @IYC | Best Youth Worker awardee - Karnataka State Government | Views are purely personal.","p","op","Description",TRUE
79,23136887,2274,"wesbury","Brian Wesbury","o","Chief Economist, First Trust Portfolios LP. The Antidote to Conventional Wisdom. Eagle Scout. Northwestern MBA. And, yes, I own a John Deere tractor!","o","oo","individual, non-P.E.",FALSE
80,43633246,3085,"EdtheSock","Ed the Sock","o","Canadian Icon. Back to save the world.  Find podcasts under FUNetwork. Starting a new online music channel like an updated Muchmusic. Soon.","o","oo","individual, non-P.E.",FALSE
82,741903096,7192,"WakeAustralia","WAKE UP AUSTRALIA WAKE UP","o","Just offering you my perception of the truth. Take it or leave it. No other agenda.","o","oo","individual, non-P.E.",FALSE
83,378385961,7027,"PennyGill3","Penny Gill","o","President: Autism/PDD Family Alliance.  University of Toronto Law, 1981. Seeking sound political governance & challenging its foes. I speak for myself here.","o","oo","individual, non-P.E.",FALSE
84,2320796668,5454,"Levi_Owen2000","Levi Owen","o","🇺🇸🇬🇧 20. Rotherham 📍","o","oo","individual, non-P.E.",FALSE
85,12699932,5836,"SunSentinel","South Florida Sun Sentinel","o","The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Winner of the 2019 Pulitzer Prize Gold Medal For Public Service.","g","og","non-individual",NA
86,200434844,2486,"hildabast","Hilda Bastian, PhD","p","Meta-science (PhD), writing, cartoons. Absolutely Maybe @PLOS, Statistically Funny on bias & clinical epidemiology. Occasionally @TheAtlantic @WIRED @BMJ_Latest","n","pn","Name, NOT 
Description",TRUE
87,84366480,3426,"OttawaHealth","Ottawa Public Health","g","Ottawa’s leading source for health information, programs & services. Prevention, promotion, & protection for healthy communities.
Français = @OttawaSante","p","gp","non-individual",NA
88,7565522,3723,"chikawatanabe","Chika","o","Personal: http://facebook.com/chika
Work: http://facebook.com/svopen
http://linkedin.com/in/chikawatana…
Clubhouse: @chikaw

時々アップするブログはリンク先↓","f","of","non-english",NA
90,292432829,5574,"jemillerwbal","Jayne Miller","o","Investigative Reporter WBAL-TV  Contact me: jemiller@hearst.com  Links and RTs aren't endorsements. Opinions are my own.","o","oo","individual, non-P.E.",FALSE
91,84684955,3052,"ArmstrongDrew","Drew Armstrong","o","Senior editor for health care at Bloomberg. Punching numbers and tracking vaccines. https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution","o","oo","individual, non-P.E.",FALSE
92,907243363,793,"jambar2021","JAMBAR","o","The primary objective of CLE is to provide intellectual and practical content aimed at increasing the professional competence of attorneys.","o","oo","individual, non-P.E.",FALSE
93,16425419,3148,"ksatnews","KSAT 12","o","News from KSAT12 and http://ksat.com; also see https://www.facebook.com/KSAT12/ and follow @ksatweather for weather updates.","o","oo","individual, non-P.E.",FALSE
94,3794682452,4223,"WHOWPRO","World Health Organization (WHO) Western Pacific","g","World Health Organization @WHO in Western Pacific Region, home to 1.9B people. See latest tweets for updated #COVID19 advice. Regional Director @takeshi_kasai.","g","gg","non-individual",NA
96,32411838,7108,"Kennymack1971","V'Shawn From Westview,NJ","o","No time for your bullshit.","o","oo","individual, non-P.E.",FALSE
98,3288075858,4565,"bruce_haigh","Bruce Haigh","o","Former diplomat and political commentator   

haigh.bruce@bigpond.com","o","oo","individual, non-P.E.",FALSE
99,1092378031,1683,"GuardianAus","Guardian Australia","g","Latest news from Guardian Australia","g","gg","non-individual",NA
100,17232490,1688,"HillsboroughFL","#CrushCOVIDHC","g","Hillsborough County Government tweeting about what makes #MyHillsborough a great place to live, work, and play.","g","gg","non-individual",NA
101,14247236,6984,"funder","Scott Dworkin","o","Co-Founder & Executive Director @TheDemCoalition. @DworkinReport pod. Journalist. Investigator. Author. Musician. Obama alum. #TheResistance forever.","o","oo","individual, non-P.E.",FALSE
102,18486881,3015,"femaregion4","FEMA Region 4","g","This channel provides FEMA mission-related information. For emergencies,
call your local fire/EMS/police or 9-1-1. Serving: AL, FL, GA, KY, MS, NC, SC, TN.","g","gg","non-individual",NA
103,2726522922,1197,"BrasilWire","Brasil Wire","o","Independent news & analysis on Brasil in English since 2014. @progintl partner.","o","oo","individual, non-P.E.",FALSE
104,194962896,6749,"KejanHaynes","Kejan Haynes","o","Host: Long Story Short on @wesncc
Former writer at @ny1 Graduate of @columbiajourn. Alum CNMG now TTT @telesurenglish @tv6tnt","g","og","non-individual",NA
105,16106584,6252,"stillgray","Ian Miles Cheong","o","I say the quiet part out loud.","o","oo","individual, non-P.E.",FALSE
106,8953122,7658,"PolitiFact","PolitiFact","o","Home of the Truth-O-Meter and independent fact-checking. Part of @Poynter. Sign up for our newsletter: https://bit.ly/2Y1o3Ui","o","oo","individual, non-P.E.",FALSE
107,11911322,1374,"philippejuvin","🇫🇷 🇪🇺 Pr Philippe Juvin, MD PhD","p","Maire #LR @Lagarenne, Professeur de médecine, chef des Urgences @HopitalPompidou, Ex OPEX Afghanistan. Auteur : Je ne tromperai jamais leur confiance, Gallimard","p","pp","Both",TRUE
108,398998659,6615,"Chavez_Fndn","Chavez Foundation","o","Inspiring and transforming communities through social enterprises that address essential human, cultural and community needs. #sisepuede","o","oo","individual, non-P.E.",FALSE
109,377026626,123,"WorldBankSAsia","World Bank South Asia","g","Gateway to the World Bank's activities in South Asia including Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, & Sri Lanka. Talk to us!","g","gg","non-individual",NA
110,19834403,5831,"NYCMayor","Mayor Bill de Blasio","o","Fighting every day to make New York the fairest big city in America. He/him/his. (http://nyc.gov/socialmediapolicy)","o","oo","individual, non-P.E.",FALSE
111,18947832,4844,"AnnieYuTV","Annie Yu","o","Mom + wife. Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in #DMV. Left handed ✍️  If not now, when? - Eckhart Tolle http://WUSA9.com","o","oo","individual, non-P.E.",FALSE
113,2736988902,6197,"SKodineya","Kodineya Surender Sharma","o","Something never change.                                                   
Alone and happy 😎.
🙈🙉🙊..........","o","oo","individual, non-P.E.",FALSE
114,936078120,75,"NathanStall","Nathan Stall","o","Geriatrics/Internal Med @SinaiHealth. Research Fellow @WCRInstitute. PhD(c) Clin Epi @ihpmeuoft. CSTP @UofT_DoM. Vanier Scholar @CIHR_IRSC. Assoc Editor @CMAJ.","p","op","Description",TRUE
115,4081035674,3579,"9thFloorAZ","The 9th Floor","o","Official account of the Office of Arizona Governor @DougDucey providing an inside look at the day-to-day operations of the governor and his staff","g","og","non-individual",NA
116,58340767,1744,"tylermeredith","Tyler Meredith","o","Director of Economic Strategy and Planning for 🇨🇦’s Minister of Finance. Frmr economic & social policy for Justin Trudeau. Opinions expressed my own. #cdnpoli","o","oo","individual, non-P.E.",FALSE
117,586750554,241,"leew2030","L","o","cry later but for now lets enjoy the laughter","o","oo","individual, non-P.E.",FALSE
118,27773430,7191,"ashkaur","Ash Kaur MSc MSc MD","o","GP/Obstetrics/Palliative/LTC/Addictions 🩺| COD Exec @OnCall4ON | ੴ | Mom to 2 👦🏽 & 1 🧔🏽| Tweets my own but trolls argue otherwise 🤦🏽‍♀️| PunjabiNewf 🦁🐟","o","oo","individual, non-P.E.",FALSE
119,38882862,4221,"renatobarrosbr","Renato Barros 🧠","o","Apresentador do Canal Questione-se, pró 🇮🇱, Trump e Bolsonaro. Deus acima de tudo.
Estudante de Ciência Política.","f","of","non-english",NA
120,151432737,7524,"rupasubramanya","Rupa Subramanya","o","Columnist @NationalPost @NikkeiAsia /Previous bylines WSJ @ForeignPolicy /Economist/Wannabe tennis Pro/Distinguished Fellow @asiapacificfdn Coauthor:Indianomix.","o","oo","individual, non-P.E.",FALSE
122,2850950135,1276,"EmilieLacoste50","ÉmilieLacoste50","o","","f","of","non-english",NA
124,19983221,6345,"PA","PA Media","g","#Breaking news, developing stories, features and more from the UK’s national news and sport agency.","g","gg","non-individual",NA
125,368050288,803,"JulieZauzmer","Julie Zauzmer","o","I write about DC's local government and the people who live here for @WashingtonPost. I used to report on religion in America. I'm a balloon twister.","o","oo","individual, non-P.E.",FALSE
126,18469669,1249,"saifedean","Saifedean.com","g","Author of The #Bitcoin Standard, out in 24 languages. Working on the sequel, The Fiat Standard & an economics textbook. Subscribe to receive new chapters weekly","o","go","non-individual",NA
127,77732185,4123,"drharshvardhan","Dr Harsh Vardhan","p","Minister for Health & Family Welfare, Science & Tech, Earth Sciences. ENT Surgeon Chairman, Exec Board, WHO Chairman, STOP TB Board Author -A Tale Of Two Drops.","p","pp","Both",TRUE
128,10433782,3116,"mercnews","Mercury News","g","Latest Silicon Valley and San Francisco Bay Area news from reporters & columnists at The Mercury News.","g","gg","non-individual",NA
129,15754281,4251,"USATODAY","USA TODAY","g","The latest news and most interesting stories from USA TODAY. News that's meant to be shared.","g","gg","non-individual",NA
130,1514706787,2011,"JohnFraserOS","John Fraser","o","MPP for Ottawa South/député provincial d’Ottawa-Sud. Husband, father and grandfather of Vaughan, Sloane & Fraser.","o","oo","individual, non-P.E.",FALSE
131,2707311541,2914,"subsix848","Angry Optimist","o","If someone told you in March that kids would be kept out of school for a year, due to a virus less dangerous to them than the flu, would you have believed them?","o","oo","individual, non-P.E.",FALSE
132,20670943,5723,"JLeiper","Jeff Leiper","o","Cheese curd fan and pants-hesitant. Serving as city councillor in Kitchissippi ward in beautiful Ottawa ON. I probably biked here.","o","oo","individual, non-P.E.",FALSE
133,38027006,5673,"JemilahMahmood","Dr Jemilah Mahmood","p","Health Professional, Humanitarian &  “Farmer”. Passionate about planetary health, innovation, gender & social justice.Tweets my own, retweets not endorsement.","p","pp","Both",TRUE
134,108419001,114,"CBCLorenda","Lorenda Reddekopp","o","CBC News reporter in Toronto, mainly covering #onpoli & #Covid19. Hablo español. Originally from Sask. News tips: lorenda.reddekopp@cbc.ca","o","oo","individual, non-P.E.",FALSE
135,22898078,1732,"UKinVietnam","UK in Vietnam🇬🇧🇻🇳","o","Official account of the British Embassy Hanoi and British Consulate-General HCMC. Follow our HMA @GarethWardUK and HMCG @EmilyHamblinUK.","g","og","non-individual",NA
136,121639467,4389,"7NewsMelbourne","7NEWS Melbourne","g","7NEWS - nightly at 6.00 with @Peter_Mitchell7, @timwatson32, @JaneBunn (Sun-Thur) and @mikeamor7, @Jacquifelgate, @MelinaSarris7 (Fri-Sat).","o","go","non-individual",NA
138,136693171,2376,"ajayrdave","Ajay Dave","o","Track Geo-Political-Economic-Social situations.

Koo: https://t.co/1GHr82feGt

Gab: https://t.co/YjewrYAQA6

Parler: https://t.co/PRcmI806Uy…","o","oo","individual, non-P.E.",FALSE
140,73767560,3225,"MariolaPR","Mariola Rivera Reyes","o","Hija, nieta, madre, pediatra, neumóloga pediátrica. MD/PhD. Diáspora no more. Jíbara y Salvaje.","f","of","non-english",NA
141,26849735,2046,"KatherineEban","Katherine Eban","o","Investigative journalist. Vanity Fair contributing editor. NYT bestselling author #BottleofLies. Andrew Carnegie fellow. On the side of animals. DM 4 Signal.","o","oo","individual, non-P.E.",FALSE
142,66953063,7404,"LukaRenko","Luka Renko","o","Coach/mentor of managers. Investor. Sailor. Founder of @sledilnik, admin on http://pojalabanda.com.","o","oo","individual, non-P.E.",FALSE
143,17388662,1181,"bgsu","Bowling Green State University","g","A place where you will Belong, Stand Out and Go Far.","g","gg","non-individual",NA
145,2930935453,337,"ThePrintIndia","ThePrintIndia","g","Substance of print, Reach of digital. Also follow our other handles @ThePrintScience, @ThePrintHindi, @ThePrintOTC","g","gg","non-individual",NA
146,277630334,4519,"EmmaRoseTeitel","Emma Teitel","o","City Columnist @TorontoStar
formerly @Macleans","o","oo","individual, non-P.E.",FALSE
147,27182410,2305,"TheeAdamRich","Adam Rich🤟🏼","o","FORMER PRISONER {actor & writer} NOTverified*~Guaranteed me©️ I should be, but I’m not dead yet! Thy Wiki page is full of B.S.! #MentalHealthAwareness🎗#BLM✊🏿","o","oo","individual, non-P.E.",FALSE
155,7366572,6018,"kiai","Kiai","o","Agitating for improvements to Australia's pandemic response, since 22/1/2020.

#COVIDisAirborne

Health. Security. Technology. Economics. Risk Management.","o","oo","individual, non-P.E.",FALSE
158,16244449,6998,"jbarro","Josh Barro","o","Columnist for Insider. Host of KCRW's Left, Right & Center & cohost w/ @popehat of All the President's Lawyers. Instagram: @ joshbarro","o","oo","individual, non-P.E.",FALSE
159,8349572,555,"justin_hart","Justin Hart","o","Unraveling COVID-19 fears one chart at a time // mktg + AI // data, demographics, and steaks. justinhart.biz@gmail.com // claimed by @jennyerikson. Father to 7!","o","oo","individual, non-P.E.",FALSE
161,233018450,3465,"wolftickler2000","💧 🐀 Rudy Terwilliger🕯","o","Investigative journalist, @TrueCrimeWeekly - corruption, nepotism, cronyism, cover-ups & injustice are primary focus. rudyterwilliger@hushmail.com","o","oo","individual, non-P.E.",FALSE
162,262698969,3784,"FDNYIMT","FDNY IMT","o","Official Incident Information from the FDNY Incident Management Team. Helping to bring timely and accurate information that people can use.","g","og","non-individual",NA
163,389121502,2104,"neiljmcevoy","Neil McEvoy MS","o","Member of the Senedd │ Welsh Parliament. Leader of @PropelWales. MS for South Wales Central: neil.mcevoy@senedd.cymru 
#EndWelshLockdowns #SaveLives","o","oo","individual, non-P.E.",FALSE
166,422825907,2585,"EvaUNICEF","Eva Kadilli","o","Director @UNICEFSupply. Shaping markets. Strengthening #supplychains. Delivering supplies #ForEveryChild to survive and thrive 📦💙","o","oo","individual, non-P.E.",FALSE
167,2565360157,1318,"HansMahncke","Hans Mahncke","o","The great thieves lead away the little thief.

https://linktr.ee/hansmahncke","o","oo","individual, non-P.E.",FALSE
168,20396220,4722,"Dr_Khan","Dr. Adnan Khan (Use ❤️ to beat 💔)","p","Chief Executive #SharifMedicalCity, Executive Director #SMRC, Director #TheHeartCentre | Physician PM #NawazSharif | #HealthEconomics #LSE #partofLSE | #WHO #UN","c","pc","changed",NA
170,16543760,2689,"News12LI","News12LI","g","24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to https://t.co/qOzTZWuxjH for updates. For news tips, call (516) 393-1200. #LongIsland","o","go","non-individual",NA
171,1176994477,1331,"TheLeadCNN","The Lead CNN","g","The Lead with @jaketapper airs at 4pm ET on CNN.","g","gg","non-individual",NA
172,767675142,944,"EbenYaakov","Eben Yaakov Feld","o","""""""""Quand tout le monde vous ment en permanence, le résultat n'est pas que vous croyez ces mensonges mais que plus personne ne croit plus rien.""""""""
Hannah Arendt","f","of","non-english",NA
173,18478452,1651,"FutureDocs","Vinny Arora MD MAPP","p","Tenured Professor/Hospitalist @uchicago improve care & learning in teaching hospitals. Advocate @IMPACT4HC @costsofcare, @jhospmedicine #JHMChat. Tweets own.","p","pp","Both",TRUE
174,554648712,23,"TanjaBueltmann","Prof Tanja Bueltmann","p","Chair in International History @UniStrathclyde | migration & diaspora | EU citizens' rights | German-British dual national | New Scot | she•her | my views","n","pn","Name, NOT 
Description",TRUE
175,184789840,1297,"aginnt","Aaron Ginn","o","Cofounder of @joinlincoln and others. alum: growth @everlane @stumbleupon and @MittRomney 2012. Saved by grace for καινὸν οὐρανός γῆν. #skeptic #crossfit #keto","o","oo","individual, non-P.E.",FALSE
177,245601025,2005,"PSPC_SPAC","Public Services","g","Official page for Public Services and Procurement Canada Français @SPAC_PSPC Terms: http://goo.gl/a2qbNJ","g","gg","non-individual",NA
178,3054338580,4979,"givemegumi","大ちゃんママ 2","f","とうとう凍結を喰らいまして…こちらのアカウントに移動😪
梅田政権に移行した途端に SNSも言論弾圧が苛烈になって参りました！最早「言論の自由」「民主主義国家」は崩壊寸前。保険でこしらえたgabのアカウントは@daimamaです。いざという時にはそちらで宜しくです🙇🏻","f","ff","non-english",NA
181,27013292,5756,"TheLancet","The Lancet","o","Welcome to The Lancet on Twitter. Keep in touch with The Lancet, one of the world's leading general medical journals, published weekly since 1823 #FutureChild","o","oo","individual, non-P.E.",FALSE
182,31069618,5799,"jonrog1","John Rogers","o","Geekerati, TV and film writer. LEVERAGE, THE LIBRARIANS, JACKIE CHAN ADVENTURES, BLUE BEETLE, a couple other things.","o","oo","individual, non-P.E.",FALSE
183,16492039,532,"dexxe","pastor micheal","o","personality: i am passionate about complaining of slow internet.","o","oo","individual, non-P.E.",FALSE
186,2367320131,1672,"cybersecboardrm","Bob Carver ✭","o","Twitter Top10 #CyberSecurity #infosec #IoT #privacy #AI #ML #disrupt #blockchain #Industry40 #startups #Cloud #FutureOfWork #technology #Speaker RT != agree","o","oo","individual, non-P.E.",FALSE
187,180306677,2316,"jhaue","💧John Holmes🐨","o","","o","oo","individual, non-P.E.",FALSE
188,86764977,3887,"vipintukur","Vipin M. Vashishtha","o","Pediatric Generalist & Neonatologist settled in westen Uttar Pradesh, India, special interests include infectious diseases, vaccines, and public health issues.","o","oo","individual, non-P.E.",FALSE
189,26441268,3169,"ToshGreenslade","Tosh Greenslade","o","Actor on @madashelltv on @ABCTV, author of The Scomo Diaries (out now)","o","oo","individual, non-P.E.",FALSE
190,28076811,7088,"newschambers","Richard Chambers","o","News Correspondent @virginmedianews @virginmedia_one | #Bohs ST holder | DMs open | All views my own","o","oo","individual, non-P.E.",FALSE
191,231902290,6676,"Cartabellotta","Nino Cartabellotta","o","Medico, presidente @GIMBE. Il mio faro sono #evidenze #scienza #dati. Allergico a opinioni e #fake. Padre di 3 figli, siculo, amo fornelli, piante, sole, mare","o","oo","individual, non-P.E.",FALSE
192,55882740,4741,"Sharanyashettyy","Maya","o","Politics takes my time while food can make my time. 
Chronic cinema goer - Oscar Jury Member","o","oo","individual, non-P.E.",FALSE
193,31632905,3625,"mid_day","Mid Day","o","All things #MadeinMumbai 
News | Entertainment | Sports and much more
Subscribe to #MiddayDigitalTabloid

http://epaper.mid-day.com/","o","oo","individual, non-P.E.",FALSE
194,76104400,2352,"FreeBritain","The CIB, Campaign for an Independent Britain","g","The UK's longest-running #Brexit organisation, campaigning cross-party for #Britishindependence since 1969. Hit the link 👇 to join our journey to #FreeBritain.","g","gg","non-individual",NA
195,25108214,1662,"leoniedelt","Jen 🥛🌸","o","Autistic, epileptic, OCD, migraine, hypothyroid. 

My opinions only.

Maskless leper. Unable to wear a mask, unwilling to wear a 🌻 lanyard.","o","oo","individual, non-P.E.",FALSE
197,41012378,1306,"drjrutland","Cedric “Jamie” Rutland MD","p","Pulmonary/Critical Care Physician and host of YouTube’s Medicine Deconstructed.","n","pn","Name, NOT 
Description",TRUE
198,2294172542,7565,"ShamikaRavi","Prof Shamika Ravi","p","Mother. Economist. Non-Resident Senior Fellow @BrookingsInst. Former Member PM’s Economic Advisory Council. Thinking & writing on Growth & Development of India.","n","pn","Name, NOT 
Description",TRUE
199,568624483,3936,"Revolution_IRL","Réabhlóid 🏴‍☠️🐊","f","Blocking anti science clowns and fools generally.","o","fo","non-english",NA
200,30815198,199,"UTxJGTheDon","JG","o","USA, UTx, 1/3 of the GI podcast, @giupdates | Working with @arozzichairs X @elgato X @logitechg | biz: jg@giupdates.tv","o","oo","individual, non-P.E.",FALSE
201,791091061,3480,"flamingo_a_gogo","Ca 🦩🙅🏻‍♀️","o","Only came second in a karaoke competition run by my own mam. On unceded Gadigal country. 🏠 SYD via SG via SYD via CBR. #EnoughisEnough","o","oo","individual, non-P.E.",FALSE
202,41676231,5687,"redouad","Edouard Mathieu","o","Head of Data at @OurWorldinData • Mostly working on COVID-19 (https://t.co/JjRpEdgNr0) • Ex-@UK_Biobank @OxPrimaryCare @BDI_Oxford • Effective altruist","p","op","Description",TRUE
204,240374439,3155,"UNICEFmedia","UNICEF Media","g","Latest news, breaking stories and broadcast-quality content from UNICEF's Press Office at headquarters in New York. Email us at press@unicef.org","g","gg","non-individual",NA
205,193272907,6182,"DanielMaithyaKE","Daniel Maithya 🇰🇪 🇺🇬 🇿🇦","o","📶 2019 Top 100 Most Influential Young Kenyans
📶 FOYA East Africa Social Founder of the year 2020
📶 Digital Media Strategist
📲 0705 921 599","o","oo","individual, non-P.E.",FALSE
