"label","is_PE","Id","Degree","Betweenness","PageRank","Bridge","path","flow","name","path1","path2","path3","submod","Community","Bridge_stars","Degree_stars","Betweenness_stars","PageRank_stars"
"non-individual",NA,79739,10,576.800634581937,4.68670637714595e-05,0,"2:4:1:135",2.66e-05,79739,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,296513,25,17942.3555794741,0.00031218413578429,0,"3:9:1",0.000199462,296513,3,9,1,"3 9",NA,"*","","",""
"individual, non-P.E.",FALSE,10967,145,8634.47386637938,0.000418370892952137,0,"1:1:77",0.000937473,10967,1,1,77,"1 1","Anti-vaccine","*","*","*","*"
"Description",TRUE,213686,146,12455.3594889568,0.000961137960106886,0,"2:2:7",0.00133773,213686,2,2,7,"2 2","Pro-vaccine","*","**","*","**"
"non-individual",NA,68457,139,55850.0570808531,0.000651853412384077,7,"2:3:17",0.000718064,68457,2,3,17,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,50130,3,7099,7.32495514403239e-05,0,"2:15:29",9.31e-06,50130,2,15,29,"2 15","Pro-vaccine","*","","*",""
"individual, non-P.E.",FALSE,19930,107,382341.60177239,0.000951559360936975,3,"2:15:1",0.000448125,19930,2,15,1,"2 15","Pro-vaccine","*","*","**","**"
"individual, non-P.E.",FALSE,365392,5,32.0768702482721,4.66588971621748e-05,0,"2:8:49",1.33e-05,365392,2,8,49,"2 8","Pro-vaccine","*","","",""
"individual, non-P.E.",FALSE,271461,5,80.3947130356411,3.09979646440613e-05,0,"2:4:1:173",1.46e-05,271461,2,4,1,"2 4","Pro-vaccine","*","","",""
"individual, non-P.E.",FALSE,448720,95,33779.6661770382,0.000614113334207494,0,"2:4:1:13",0.000748648,448720,2,4,1,"2 4","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,273748,20,473.141951302916,6.26762102723337e-05,0,"2:2:145",6.78e-05,273748,2,2,145,"2 2","Pro-vaccine","","*","",""
"individual, non-P.E.",FALSE,192358,555,597230.453244508,0.00441186654051631,31,"1:2:3",0.00812742,192358,1,2,3,"1 2","Anti-vaccine","**","**","**","**"
"individual, non-P.E.",FALSE,273946,639,1365897.20923392,0.00872988778962569,24,"2:1:1",0.0086806,273946,2,1,1,"2 1","Pro-vaccine","**","**","**","**"
"individual, non-P.E.",FALSE,211092,244,98636.5823074705,0.00101827540292934,4,"1:1:35",0.00188957,211092,1,1,35,"1 1","Anti-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,234053,79,33031.6171136578,0.000381226864361165,0,"2:4:1:28",0.0004202,234053,2,4,1,"2 4","Pro-vaccine","","*","*","*"
"Description",TRUE,58808,55,201392.568303993,0.000879824072449586,2,"2:20:1:1",0.000238025,58808,2,20,1,"2 20","Pro-vaccine","*","*","**","**"
"individual, non-P.E.",FALSE,301325,215,310885.534885779,0.00139015743735461,24,"2:1:21",0.00138161,301325,2,1,21,"2 1","Pro-vaccine","**","**","**","**"
"non-individual",NA,337224,6,54.6739184274258,3.03822193103809e-05,0,"1:4:67",1.99e-05,337224,1,4,67,"1 4","Anti-vaccine","","","",""
NA,NA,455439,29,1131.75112871284,8.63956205128318e-05,0,"1:3:100",0.000132975,455439,1,3,100,"1 3","Anti-vaccine","","","",""
"Name, NOT 
Description",TRUE,342634,87,5919.79006690978,0.000389156785644692,0,"2:2:38",0.000537218,342634,2,2,38,"2 2","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,163608,681,678244.3020685,0.00615835516748417,33,"1:2:2",0.0107444,163608,1,2,2,"1 2","Anti-vaccine","***","**","**","**"
"non-individual",NA,154721,10,4752.30155439044,5.17560950708555e-05,0,"2:3:119",3.06e-05,154721,2,3,119,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,341561,149,35322.1668700524,0.000472581616473293,1,"1:1:67",0.00105449,341561,1,1,67,"1 1","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,383206,3,0,9.20047774121614e-05,0,"2:20:1:2",2.79e-05,383206,2,20,1,"2 20","Pro-vaccine","","","",""
"non-individual",NA,155120,29,41522.5813269341,0.000287693199821328,3,"2:28:1",0.00010771,155120,2,28,1,"2 28","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,397570,16,14763.5377127601,9.9238370553451e-05,0,"2:1:189",5.85e-05,397570,2,1,189,"2 1","Pro-vaccine","","","*",""
"individual, non-P.E.",FALSE,408929,32,242.115043390018,0.00013636765165749,0,"2:4:1:60",0.000155581,408929,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,334195,104,23968.9400756895,0.000598274575451968,0,"2:2:26",0.000784552,334195,2,2,26,"2 2","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,109875,35,2645.97019584032,8.93160922069628e-05,0,"1:1:232",0.000135634,109875,1,1,232,"1 1","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,372655,66,10225.9541884169,0.000146768527043673,0,"1:1:162",0.000267279,372655,1,1,162,"1 1","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,379229,1,0,2.06477197595084e-05,0,"1:2:431",2.66e-06,379229,1,2,431,"1 2","Anti-vaccine","","","",""
"non-individual",NA,94606,8,2383.16574298537,6.50122458231399e-05,0,"2:1:268",2.93e-05,94606,2,1,268,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,46063,14,1427.51776367386,5.92818435015013e-05,0,"2:1:209",4.65e-05,46063,2,1,209,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,453333,437,350256.541184999,0.00527200849661034,10,"2:1:4",0.00565808,453333,2,1,4,"2 1","Pro-vaccine","**","**","**","**"
"Both",TRUE,402571,8,1036.08788099106,4.54073642735337e-05,0,"2:5:23",2.93e-05,402571,2,5,23,"2 5","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,38409,7,15548.233785794,0.000110436834738834,0,"2:94:1",1.99e-05,38409,2,94,1,"2 94","Pro-vaccine","","","*","*"
"individual, non-P.E.",FALSE,33633,1,0,2.2693484512201e-05,0,"2:1:558",3.99e-06,33633,2,1,558,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,394678,6,462.376989537775,5.76639299069411e-05,0,"2:4:1:154",1.86e-05,394678,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,286918,92,6422.8034088583,0.000408683848345392,0,"2:2:36",0.000567803,286918,2,2,36,"2 2","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,453675,12,549.065622024548,4.92543869376732e-05,0,"2:4:1:124",3.46e-05,453675,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,325872,5,612.825779928274,3.96944912460844e-05,0,"2:1:342",1.73e-05,325872,2,1,342,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,63177,2,5.33463797834507,2.52765960866613e-05,0,"2:1:531",5.32e-06,63177,2,1,531,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,11572,5,43.4342775895101,5.25814968092394e-05,0,"2:99:1",1.46e-05,11572,2,99,1,"2 99","Pro-vaccine","","","",""
"non-individual",NA,310066,117,169305.322648338,0.000729986687472698,17,"2:2:27",0.000760616,310066,2,2,27,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,290490,3,10.933041109703,2.7157082209357e-05,0,"2:2:265",7.98e-06,290490,2,2,265,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,331059,264,135213.202605512,0.00266705637018752,3,"2:1:12",0.0027712,331059,2,1,12,"2 1","Pro-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,321451,152,48825.4266174527,0.000977542507353778,1,"1:2:16",0.00164623,321451,1,2,16,"1 2","Anti-vaccine","*","*","*","**"
"non-individual",NA,353181,42,5695.47286048938,0.000159757427395683,0,"2:3:55",0.000170208,353181,2,3,55,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,243017,8,2701.89232009778,7.57581637476256e-05,0,"2:40:4",3.06e-05,243017,2,40,4,"2 40","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,244743,1,0,2.1284390478126e-05,0,"2:4:1:237",2.66e-06,244743,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,164180,1,0,2.29771664226163e-05,0,"2:1:722",2.66e-06,164180,2,1,722,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,373959,23,10596.9460217948,0.000167920078146457,0,"1:5:27",0.000102391,373959,1,5,27,"1 5","Anti-vaccine","","*","*","*"
"non-individual",NA,186848,2,9.03880820424394,2.2095783139991e-05,0,"1:3:330",5.32e-06,186848,1,3,330,"1 3","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,16,286,349326.04371974,0.00274288106997244,24,"1:2:7",0.00475119,16,1,2,7,"1 2","Anti-vaccine","**","**","**","**"
"individual, non-P.E.",FALSE,428709,8,7213.60584681327,8.90463889184589e-05,0,"2:15:10",2.66e-05,428709,2,15,10,"2 15","Pro-vaccine","","","*",""
"individual, non-P.E.",FALSE,126430,1,0,2.12775276714411e-05,0,"2:4:1:244",2.66e-06,126430,2,4,1,"2 4","Pro-vaccine","","","",""
"non-individual",NA,441637,11,326.585635280644,3.50829776049897e-05,0,"1:1:383",3.19e-05,441637,1,1,383,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,152311,6,12.7217368153374,3.29662669944953e-05,0,"2:2:220",1.99e-05,152311,2,2,220,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,213947,152,65037.7024216735,0.00135843813079727,1,"2:4:1:6",0.00166219,213947,2,4,1,"2 4","Pro-vaccine","*","**","*","**"
"individual, non-P.E.",FALSE,12852,485,682389.348414509,0.00350663856810427,29,"1:2:5",0.00602509,12852,1,2,5,"1 2","Anti-vaccine","**","**","**","**"
"non-individual",NA,29115,2,0,2.57151562998626e-05,0,"2:79:3",5.32e-06,29115,2,79,3,"2 79","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,169843,283,307027.120685386,0.00184702585700004,24,"1:2:10",0.00315549,169843,1,2,10,"1 2","Anti-vaccine","**","**","**","**"
"individual, non-P.E.",FALSE,51413,17,15442.084130142,8.25479472097342e-05,0,"1:31:1",6.52e-05,51413,1,31,1,"1 31","Anti-vaccine","","","*","*"
"individual, non-P.E.",FALSE,332688,4,167.829624641415,2.57667694558026e-05,0,"1:2:233",1.2e-05,332688,1,2,233,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,164672,2,28.8709831540031,2.39446107835786e-05,0,"2:1:547",5.32e-06,164672,2,1,547,"2 1","Pro-vaccine","","","",""
"non-individual",NA,200952,46,13654.0257285217,0.000221585021262527,1,"2:3:51",0.00020877,200952,2,3,51,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,88036,70,10662.4316161363,0.000266297344731549,0,"1:2:52",0.00047605,88036,1,2,52,"1 2","Anti-vaccine","","*","*","*"
"non-individual",NA,354688,14,2168.57291306063,9.26978145389244e-05,0,"2:1:165",6.91e-05,354688,2,1,165,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,228274,15,254.329189583369,6.69167620356268e-05,0,"2:1:190",5.85e-05,228274,2,1,190,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,43575,3,65.6177602211101,2.37675223782755e-05,0,"1:2:265",9.31e-06,43575,1,2,265,"1 2","Anti-vaccine","","","",""
"Name",TRUE,364238,10,8023.64380407241,5.16165430931299e-05,0,"1:2:166",2.79e-05,364238,1,2,166,"1 2","Anti-vaccine","","","*",""
NA,NA,375007,143,285751.108585469,0.000910368002729327,11,"1:3:25",0.000912207,375007,1,3,25,"1 3","Anti-vaccine","","","",""
"Both",TRUE,198410,13,2340.46862540142,4.67081648976656e-05,0,"2:2:183",3.59e-05,198410,2,2,183,"2 2","Pro-vaccine","","","",""
"non-individual",NA,328446,128,178083.182373746,0.000598008200619083,16,"2:3:20",0.000598387,328446,2,3,20,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,175578,119,7196.17391419281,0.000685765482417633,0,"2:2:16",0.000972046,175578,2,2,16,"2 2","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,359327,172,143969.037216517,0.00175808829241392,1,"2:4:1:3",0.00196404,359327,2,4,1,"2 4","Pro-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,193977,10,22333.7966037819,9.53444308829823e-05,0,"2:1:231",3.99e-05,193977,2,1,231,"2 1","Pro-vaccine","","","*",""
"non-individual",NA,318410,259,519803.299676178,0.00136980285698924,66,"2:3:8",0.00144544,318410,2,3,8,"2 3","Pro-vaccine","","","",""
"non-individual",NA,289572,8,89.6760827806892,6.7906655017743e-05,0,"2:39:3",3.99e-05,289572,2,39,3,"2 39","Pro-vaccine","","","",""
NA,NA,100586,15,8609.25492454314,0.000125385805435463,2,"1:8:28",5.72e-05,100586,1,8,28,"1 8","Anti-vaccine","","","",""
"non-individual",NA,129585,100,493037.555066656,0.00060614352621024,18,"2:14:1",0.000388287,129585,2,14,1,"2 14","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,40843,77,51673.0846607566,0.000522011647766311,1,"1:4:10",0.000695458,40843,1,4,10,"1 4","Anti-vaccine","*","*","*","*"
"Both",TRUE,55057,172,329847.645613134,0.000821893613578105,62,"1:9:1",0.000876304,55057,1,9,1,"1 9","Anti-vaccine","***","*","**","*"
"non-individual",NA,430532,211,15482.1617061173,0.000789522675760259,3,"1:1:39",0.00178452,430532,1,1,39,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,79562,4,376.945447981017,2.47454154526175e-05,0,"1:6:34",1.06e-05,79562,1,6,34,"1 6","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,99263,6,579.890889877704,3.4994835902119e-05,0,"2:3:130",1.86e-05,99263,2,3,130,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,239857,34,161.168557651931,0.000131633068856622,0,"2:4:1:62",0.000155581,239857,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,29682,2,1.23721464476188,2.16321619285954e-05,0,"1:1:581",5.32e-06,29682,1,1,581,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,181203,1,0,2.06571743788186e-05,0,"1:2:498",2.66e-06,181203,1,2,498,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,210784,1,0,2.06741204039829e-05,0,"1:1:710",2.66e-06,210784,1,1,710,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,286766,92,66244.5314241649,0.000520889315406593,0,"1:2:30",0.000720724,286766,1,2,30,"1 2","Anti-vaccine","","*","**","*"
"individual, non-P.E.",FALSE,437160,10,1288.10905037225,3.39805928907865e-05,0,"1:7:33",2.93e-05,437160,1,7,33,"1 7","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,391592,61,23115.9107585939,0.000258964893326327,0,"1:6:7",0.000359032,391592,1,6,7,"1 6","Anti-vaccine","","*","*","*"
"Both",TRUE,228450,95,6706.51140286552,0.000319057783096424,2,"1:2:38",0.000601046,228450,1,2,38,"1 2","Anti-vaccine","*","*","*","*"
"Both",TRUE,65794,14,422.970950345582,7.48591361324402e-05,0,"2:1:178",6.12e-05,65794,2,1,178,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,179269,135,15129.3774496849,0.000858711155541662,2,"2:1:28",0.000993322,179269,2,1,28,"2 1","Pro-vaccine","*","**","*","**"
"non-individual",NA,378537,73,102031.754986554,0.000477394594387206,0,"2:3:29",0.000416211,378537,2,3,29,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,23871,2,0,0.000129533678756387,0,"40:1",7.98e-06,23871,40,1,NA,"40 1",NA,"","","",""
"individual, non-P.E.",FALSE,35105,9,679.32807232245,3.35274904979742e-05,0,"1:2:162",2.79e-05,35105,1,2,162,"1 2","Anti-vaccine","","","",""
"Description",TRUE,135953,1,0,2.1484394750707e-05,0,"2:1:664",2.66e-06,135953,2,1,664,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,22242,59,3586.43670144044,0.000275490330943598,0,"1:2:49",0.000501315,22242,1,2,49,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,272518,175,18624.4251626873,0.000602216513034606,1,"1:1:57",0.00126459,272518,1,1,57,"1 1","Anti-vaccine","*","*","*","*"
"non-individual",NA,93696,182,59689.5175969295,0.0015230443682,0,"2:1:19",0.0016582,93696,2,1,19,"2 1","Pro-vaccine","","","",""
"Description",TRUE,326447,4,0,4.89986246900487e-05,0,"2:8:45",1.46e-05,326447,2,8,45,"2 8","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,452480,35,1382.91927963903,0.000106646399081006,0,"1:2:78",0.000155581,452480,1,2,78,"1 2","Anti-vaccine","","*","","*"
"non-individual",NA,359563,39,27744.8106314812,0.000190010897267842,0,"2:3:62",0.000148932,359563,2,3,62,"2 3","Pro-vaccine","","","",""
"non-individual",NA,172734,34,5494.84379849288,0.000169146663577658,0,"3:2:53",0.000162229,172734,3,2,53,"3 2",NA,"","","",""
"individual, non-P.E.",FALSE,3721,35,5465.85453697406,0.000158136235593813,0,"2:1:97",0.0001609,3721,2,1,97,"2 1","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,109583,40,1559.31538729134,0.000140602304350074,0,"2:4:1:61",0.000155581,109583,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,278853,38,2640.7535153891,0.000130235927443728,0,"1:2:69",0.000220738,278853,1,2,69,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,168791,4,12.3184984741511,2.7045529213733e-05,0,"1:2:234",1.2e-05,168791,1,2,234,"1 2","Anti-vaccine","","","",""
"non-individual",NA,353406,82,9627.57225013095,0.000270553442354051,1,"1:2:50",0.000489347,353406,1,2,50,"1 2","Anti-vaccine","","","",""
"non-individual",NA,98521,296,269217.454651204,0.00209324110831798,15,"2:3:2",0.00215951,98521,2,3,2,"2 3","Pro-vaccine","","","",""
"Both",TRUE,432674,236,116226.050167603,0.00190854730772212,5,"2:1:15",0.00198133,432674,2,1,15,"2 1","Pro-vaccine","*","**","**","**"
NA,NA,326336,11,0,0.000105303746689141,0,"1:13:8",7.31e-05,326336,1,13,8,"1 13","Anti-vaccine","","","",""
"non-individual",NA,340062,52,33281.5513287793,0.000240614059413457,0,"1:4:16",0.000295204,340062,1,4,16,"1 4","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,118212,237,42208.9236329674,0.000853656851507983,4,"1:1:32",0.00193478,118212,1,1,32,"1 1","Anti-vaccine","*","**","*","*"
"individual, non-P.E.",FALSE,179065,83,23426.2025035171,0.000418614665244581,0,"2:1:49",0.000446795,179065,2,1,49,"2 1","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,295351,53,19559.951796714,0.000374860158471431,0,"1:6:3",0.000534559,295351,1,6,3,"1 6","Anti-vaccine","","*","*","*"
"changed",NA,11704,75,19728.0565450638,0.000456675095225424,1,"1:6:2",0.000700777,11704,1,6,2,"1 6","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,48777,20,4387.00710331368,8.24836003925431e-05,0,"1:6:17",0.000109039,48777,1,6,17,"1 6","Anti-vaccine","","","*","*"
"Both",TRUE,118674,615,1172922.87478941,0.00615502263296815,21,"2:1:3",0.00607695,118674,2,1,3,"2 1","Pro-vaccine","**","**","**","**"
"Description",TRUE,46969,119,57725.9504582987,0.000606280208904929,3,"1:2:23",0.00108242,46969,1,2,23,"1 2","Anti-vaccine","*","*","**","*"
"individual, non-P.E.",FALSE,265751,233,60135.8816049587,0.00226730284740651,2,"2:1:13",0.00255445,265751,2,1,13,"2 1","Pro-vaccine","*","**","*","**"
"individual, non-P.E.",FALSE,135861,2,15.0148890941389,2.26572083286857e-05,0,"1:2:387",5.32e-06,135861,1,2,387,"1 2","Anti-vaccine","","","",""
NA,NA,89531,4,109.85,7.6985084374331e-05,0,"4:2:14",1.46e-05,89531,4,2,14,"4 2",NA,"","","",""
"individual, non-P.E.",FALSE,126450,19,1295.14288169867,5.16214362962086e-05,0,"1:2:110",6.38e-05,126450,1,2,110,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,290743,19,11377.5631289349,0.000131568371188385,0,"3:8:3",8.38e-05,290743,3,8,3,"3 8",NA,"","","",""
"Description",TRUE,12926,2,0,3.78037247807969e-05,0,"2:52:7",5.32e-06,12926,2,52,7,"2 52","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,147885,4,38.5772436843214,2.43860838306343e-05,0,"1:1:491",1.2e-05,147885,1,1,491,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,389900,47,954.827371924071,0.000145345056723738,0,"1:1:171",0.000249993,389900,1,1,171,"1 1","Anti-vaccine","","*","","*"
"individual, non-P.E.",FALSE,238392,155,53157.5563847096,0.00149159719711588,0,"2:1:20",0.00163958,238392,2,1,20,"2 1","Pro-vaccine","","**","*","**"
"Both",TRUE,444562,761,2271478.85797931,0.0070027050431005,26,"2:1:2",0.00632694,444562,2,1,2,"2 1","Pro-vaccine","**","**","**","**"
"individual, non-P.E.",FALSE,23337,73,14130.0921766791,0.000273636479361584,0,"1:2:54",0.000442806,23337,1,2,54,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,328043,28,730.376603302679,8.05483554974757e-05,0,"1:1:235",0.000126326,328043,1,1,235,"1 1","Anti-vaccine","","*","","*"
"individual, non-P.E.",FALSE,381809,2,0,4.61031596592768e-05,0,"2:51:8",5.32e-06,381809,2,51,8,"2 51","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,195632,11,3760.84577996771,0.000111426445690213,0,"2:15:5",3.59e-05,195632,2,15,5,"2 15","Pro-vaccine","","","","*"
"individual, non-P.E.",FALSE,391583,1,0,2.36963416171682e-05,0,"2:8:75",2.66e-06,391583,2,8,75,"2 8","Pro-vaccine","","","",""
"Both",TRUE,60364,2,57.3303897876724,2.19804039122806e-05,0,"1:1:622",5.32e-06,60364,1,1,622,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,241763,10,244.360896089622,3.90897278147995e-05,0,"1:7:30",3.72e-05,241763,1,7,30,"1 7","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,306228,134,105353.133430825,0.00114690056664496,14,"1:4:2",0.00149597,306228,1,4,2,"1 4","Anti-vaccine","**","*","**","**"
"individual, non-P.E.",FALSE,14104,6,84.0174828950535,3.27925505970296e-05,0,"2:4:1:155",1.86e-05,14104,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,402953,24,479.702075674423,9.27830358138911e-05,0,"2:4:1:87",9.04e-05,402953,2,4,1,"2 4","Pro-vaccine","","*","",""
"non-individual",NA,161813,2,7.0266837118375,2.68332930963956e-05,0,"2:69:3",5.32e-06,161813,2,69,3,"2 69","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,229458,10,464.628913860494,3.61789966387608e-05,0,"1:2:152",3.32e-05,229458,1,2,152,"1 2","Anti-vaccine","","","",""
"non-individual",NA,52160,3,70.7905221856819,2.34933052174913e-05,0,"1:1:547",7.98e-06,52160,1,1,547,"1 1","Anti-vaccine","","","",""
"non-individual",NA,300857,136,67187.0812278015,0.000729582005783757,4,"2:3:15",0.000781892,300857,2,3,15,"2 3","Pro-vaccine","","","",""
